Unnamed: 0,NYG,PHI
First Downs,21,24
Rush-Yds-TDs,17-49-0,39-193-2
Cmp-Att-Yd-TD-INT,35-47-366-3-2,21-31-176-1-0
Sacked-Yards,0-0,3-15
Net Pass Yards,366,161
Total Yards,415,354
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,10-137,9-103
Third Down Conv.,3-10,5-14
Fourth Down Conv.,0-2,2-3
Time of Possession,22:28,37:32
