Unnamed: 0,ARI,HOU
First Downs,16,18
Rush-Yds-TDs,13-39-0,35-119-3
Cmp-Att-Yd-TD-INT,25-38-301-2-2,22-33-150-0-1
Sacked-Yards,6-39,3-16
Net Pass Yards,262,134
Total Yards,301,253
Fumbles-Lost,3-2,1-1
Turnovers,4,2
Penalties-Yards,7-69,5-43
Third Down Conv.,4-13,5-15
Fourth Down Conv.,0-0,0-1
Time of Possession,27:36,32:24
