Quarter,Time,Tm,Detail,ARI,HOU
1.0,3:43,Cardinals,Neil Rackers 26 yard field goal,3,0
2.0,14:23,Texans,Jonathan Wells 7 yard rush (Kris Brown kick),3,7
,10:16,Cardinals,Anquan Boldin 20 yard pass from Kurt Warner (Neil Rackers kick),10,7
,4:57,Texans,Vernand Morency 25 yard rush (Kris Brown kick),10,14
,1:50,Texans,Jonathan Wells 3 yard rush (Kris Brown kick),10,21
,0:08,Texans,Kris Brown 27 yard field goal,10,24
3.0,12:13,Texans,Kris Brown 41 yard field goal,10,27
4.0,14:46,Cardinals,Neil Rackers 42 yard field goal,13,27
,5:32,Cardinals,Larry Fitzgerald 12 yard pass from John Navarre (Neil Rackers kick failed),19,27
,0:27,Texans,Kris Brown 26 yard field goal,19,30
