Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 60 yards, returned by Reggie Swinton for 24 yards (tackle by Jason Simmons)",0.000,1.200
1,14:53,1,10,ARI 34,0,0,Kurt Warner sacked by Antwan Peek for -4 yards,1.200,0.120
1,14:20,2,14,ARI 30,0,0,J.J. Arrington up the middle for 3 yards (tackle by Robaire Smith),0.120,-0.160
1,13:41,3,11,ARI 33,0,0,Kurt Warner sacked by Jason Babin for -8 yards,-0.160,-1.700
1,13:12,4,19,ARI 25,0,0,Scott Player punts 46 yards,-1.700,-0.870
1,13:04,1,10,HOU 29,0,0,David Carr pass complete to Andre Johnson for 9 yards (tackle by James Darling),0.870,1.540
1,12:47,2,1,HOU 38,0,0,Jonathan Wells right end for 4 yards (tackle by Antrel Rolle),1.540,1.730
1,12:19,1,10,HOU 42,0,0,David Carr pass complete to Andre Johnson for 5 yards (tackle by David Macklin),1.730,1.860
1,11:56,2,5,HOU 47,0,0,Jonathan Wells up the middle for 4 yards (tackle by Karlos Dansby),1.860,1.690
1,11:16,3,1,ARI 49,0,0,David Carr pass complete to Marcellus Rivers for no gain,1.690,0.000
1,10:40,4,1,ARI 49,0,0,Jonathan Wells left end for -1 yards (tackle by Orlando Huff and David Macklin),0.000,-2.260
1,10:31,1,10,HOU 50,0,0,Marcel Shipp up the middle for 5 yards (tackle by Gary Walker and Glenn Earl),2.260,2.390
1,9:55,2,5,HOU 45,0,0,Marcel Shipp up the middle for 6 yards (tackle by Antwan Peek),2.390,2.980
1,9:12,1,10,HOU 39,0,0,"Kurt Warner pass complete to Anquan Boldin for 7 yards (tackle by Demarcus Faggins and DaShon Polk). Penalty on Oliver Ross: Tripping, 10 yards (no play)",2.980,2.320
1,8:51,1,20,HOU 49,0,0,Kurt Warner pass complete to Marcel Shipp for 7 yards (tackle by Jason Babin),2.320,2.040
1,8:13,2,13,HOU 42,0,0,Marcel Shipp left guard for 3 yards (tackle by Morlon Greenwood),2.040,1.750
1,7:32,3,10,HOU 39,0,0,Kurt Warner pass complete to LeRon McCoy for 16 yards (tackle by Chris McKenzie),1.750,4.040
1,6:56,1,10,HOU 23,0,0,Marcel Shipp up the middle for no gain (tackle by Gary Walker and Glenn Earl),4.040,3.500
1,6:18,2,10,HOU 23,0,0,Kurt Warner pass complete to LeRon McCoy for 12 yards (tackle by Demarcus Faggins),3.500,4.840
1,5:51,1,10,HOU 11,0,0,J.J. Arrington up the middle for no gain (tackle by Travis Johnson and Seth Payne),4.840,4.140
1,5:13,2,10,HOU 11,0,0,Kurt Warner pass complete to J.J. Arrington for -1 yards (tackle by Dunta Robinson and C.C. Brown),4.140,3.110
1,4:29,3,11,HOU 12,0,0,Kurt Warner pass complete to Anquan Boldin for 4 yards (tackle by Troy Evans),3.110,2.960
1,3:47,4,7,HOU 8,3,0,Neil Rackers 26 yard field goal good,2.960,3.000
1,,,,ARI 30,3,0,"Nick Novak kicks off 42 yards, returned by Jonathan Wells for 26 yards (tackle by Obafemi Ayanbadejo)",0.000,2.520
1,3:36,1,10,ARI 46,3,0,Jonathan Wells left end for 3 yards (tackle by David Macklin and James Darling),2.520,2.380
1,3:04,2,7,ARI 43,3,0,Jonathan Wells left guard for 8 yards (tackle by Karlos Dansby and Darnell Dockett),2.380,3.250
1,2:31,1,10,ARI 35,3,0,Jonathan Wells left guard for 7 yards (tackle by James Darling and Karlos Dansby),3.250,3.650
1,1:53,2,3,ARI 28,3,0,David Carr pass complete to Andre Johnson for 5 yards (tackle by David Macklin),3.650,4.040
1,1:36,1,10,ARI 23,3,0,Vernand Morency left guard for 4 yards (tackle by James Darling),4.040,4.050
1,0:58,2,6,ARI 19,3,0,Vernand Morency left end for 4 yards (tackle by Orlando Huff and Quentin Harris),4.050,4.050
1,0:16,3,2,ARI 15,3,0,Jonathan Wells left guard for 6 yards (tackle by James Darling),4.050,5.140
Quarter,Time,Down,ToGo,Location,ARI,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,9,ARI 9,3,0,David Carr up the middle for 2 yards (tackle by Adrian Wilson),5.140,4.760
2,14:28,2,7,ARI 7,3,6,"Jonathan Wells up the middle for 7 yards, touchdown",4.760,7.000
2,,,,ARI 2,3,7,Kris Brown kicks extra point good,0.000,0.000
2,,,,HOU 30,3,7,"Kris Brown kicks off 71 yards, returned by Reggie Swinton for 20 yards (tackle by Marcellus Rivers)",0.000,0.150
2,14:17,1,10,ARI 19,3,7,Kurt Warner pass complete to Anquan Boldin for 17 yards (tackle by Morlon Greenwood),0.150,1.330
2,13:39,1,10,ARI 36,3,7,J.J. Arrington right guard for -2 yards (tackle by Lewis Sanders and Glenn Earl),1.330,0.520
