Unnamed: 0,NYG,HOU
First Downs,21,21
Rush-Yds-TDs,27-114-1,19-59-0
Cmp-Att-Yd-TD-INT,25-29-297-2-0,24-40-385-2-1
Sacked-Yards,4-32,3-17
Net Pass Yards,265,368
Total Yards,379,427
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,3-20,7-50
Third Down Conv.,7-13,5-12
Fourth Down Conv.,0-0,2-2
Time of Possession,35:30,24:30
