Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
1,9:42,3,4,DET 27,0,0,Daunte Culpepper pass complete short middle to Calvin Johnson for 8 yards (tackle by Antrel Rolle),-0.100,1.270
1,9:03,1,10,DET 35,0,0,Daunte Culpepper middle for 4 yards (tackle by Gerald Hayes and Clark Haggans),1.270,1.260
1,8:19,2,6,DET 39,0,0,Maurice Morris right end for 4 yards (tackle by Darnell Dockett),1.260,1.090
1,7:35,3,2,DET 43,0,0,Daunte Culpepper pass incomplete short right intended for Aaron Brown. Penalty on Calvin Johnson: Offensive Pass Interfere (Declined),1.090,-0.520
1,7:31,4,2,DET 43,0,0,Nick Harris punts 31 yards,-0.520,-0.670
1,7:22,1,10,ARI 26,0,0,Kurt Warner pass complete short right to Beanie Wells for 13 yards (tackle by Larry Foote),0.670,1.530
1,6:47,1,10,ARI 39,0,0,"Penalty on Reggie Wells: False Start, 5 yards (no play)",1.530,1.200
1,6:24,1,15,ARI 34,0,0,Kurt Warner pass complete short right to Tim Hightower for 1 yard (tackle by Kevin Hobbs),1.200,0.450
1,5:41,2,14,ARI 35,0,0,Beanie Wells middle for 16 yards (tackle by Marvin White),0.450,2.320
1,5:03,1,10,DET 49,0,0,Beanie Wells left tackle for 6 yards (tackle by Ernie Sims),2.320,2.590
1,4:28,2,4,DET 43,0,0,Beanie Wells right tackle for 3 yards (tackle by Julian Peterson and Louis Delmas),2.590,2.280
1,3:44,3,1,DET 40,0,0,Beanie Wells right tackle for -3 yards (tackle by Larry Foote and Louis Delmas),2.280,0.400
1,3:04,4,4,DET 43,0,0,"Ben Graham punts 28 yards, muffed catch by Dennis Northcutt, recovered by LaRod Stephens-Howling and returned for no gain",0.400,4.710
1,2:54,1,10,DET 13,0,0,Beanie Wells left tackle for 5 yards (tackle by Larry Foote and Marvin White),4.710,4.960
1,2:17,2,5,DET 8,0,0,Kurt Warner pass complete short left to Steve Breaston for 7 yards (tackle by DeAngelo Smith),4.960,6.970
1,1:43,1,1,DET 1,6,0,"Kurt Warner pass complete short right to Larry Fitzgerald for 1 yard, touchdown",6.970,7.000
1,,,,DET 2,7,0,Mike Nugent kicks extra point good,0.000,0.000
1,,,,ARI 30,7,0,"Mike Nugent kicks off 67 yards, returned by Derrick Williams for 21 yards (tackle by Sean Morey)",0.000,0.540
1,1:31,1,10,DET 24,7,0,Daunte Culpepper pass incomplete short left intended for Will Heller (defended by Karlos Dansby),0.540,0.000
1,1:24,2,10,DET 24,7,0,Maurice Morris middle for -4 yards (tackle by Adrian Wilson and Bryan Robinson),0.000,-1.220
1,0:46,3,14,DET 20,7,0,Daunte Culpepper pass incomplete deep middle intended for Calvin Johnson is intercepted by Dominique Rodgers-Cromartie at ARI-45 and returned for 6 yards,-1.220,-2.320
1,0:31,1,10,DET 49,7,0,Kurt Warner pass complete deep left to Anquan Boldin for 18 yards (tackle by Louis Delmas),2.320,3.510
Quarter,Time,Down,ToGo,Location,ARI,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 31,7,0,Tim Hightower right tackle for 1 yard (tackle by Ernie Sims),3.510,3.100
2,14:22,2,9,DET 30,7,0,Kurt Warner pass complete short left to Steve Breaston for 8 yards (tackle by Ernie Sims),3.100,3.470
2,13:38,3,1,DET 22,7,0,Kurt Warner sacked by Jason Hunter for -8 yards,3.470,1.410
2,13:05,4,9,DET 30,10,0,Mike Nugent 48 yard field goal good,1.410,3.000
2,,,,ARI 30,10,0,"Mike Nugent kicks off 69 yards, returned by Derrick Williams for 31 yards (tackle by Ali Highsmith)",0.000,1.070
2,12:54,1,10,DET 32,10,0,Maurice Morris middle for 3 yards (tackle by Adrian Wilson),1.070,0.930
2,12:22,2,7,DET 35,10,0,Daunte Culpepper pass complete short left to Bryant Johnson for 6 yards (tackle by Bryant McFadden),0.930,1.030
2,11:46,3,1,DET 41,10,0,"Penalty on Jerome Felton: False Start, 5 yards (no play)",1.030,0.370
2,11:30,3,6,DET 36,10,0,Daunte Culpepper pass complete short middle to Dennis Northcutt for 10 yards (tackle by Michael Adams),0.370,1.990
2,10:51,1,10,DET 46,10,0,Jerome Felton left tackle for 7 yards (tackle by Gabe Watson),1.990,2.400
2,10:14,2,3,ARI 47,10,0,Jerome Felton left tackle for 2 yards (tackle by Chike Okeafor),2.400,1.950
2,9:37,3,1,ARI 45,10,0,Jerome Felton left tackle for 3 yards (tackle by Gabe Watson),1.950,2.790
2,8:54,1,10,ARI 42,10,0,"Penalty on Dylan Gandy: False Start, 5 yards (no play)",2.790,2.460
2,8:54,1,15,ARI 47,10,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",2.460,2.130
2,8:22,1,20,DET 48,10,0,Daunte Culpepper pass complete short middle to Maurice Morris for 12 yards (tackle by Dominique Rodgers-Cromartie),2.130,2.510
2,7:49,2,8,ARI 40,10,0,Maurice Morris middle for 4 yards (tackle by Karlos Dansby),2.510,2.340
2,7:07,3,4,ARI 36,10,0,Maurice Morris middle for no gain (tackle by Darnell Dockett),2.340,0.890
2,6:27,4,4,ARI 36,10,0,Jason Hanson 54 yard field goal no good,0.890,-1.860
2,6:22,1,10,ARI 44,10,0,Beanie Wells right end for 13 yards (tackle by Marvin White),1.860,2.720
2,5:46,1,10,DET 43,10,0,Kurt Warner pass incomplete short right intended for Beanie Wells,2.720,2.180
2,5:40,2,10,DET 43,10,0,Kurt Warner pass complete short right to Larry Fitzgerald for 5 yards (tackle by Marvin White),2.180,2.150
2,4:58,3,5,DET 38,10,0,Kurt Warner pass complete short left to Anquan Boldin for 9 yards (tackle by Phillip Buchanon),2.150,3.640
2,4:29,1,10,DET 29,10,0,Kurt Warner pass complete deep right to Ben Patrick for 28 yards (tackle by Anthony Henry and Will Peterson),3.640,6.970
2,4:05,1,1,DET 1,16,0,"Tim Hightower left tackle for 1 yard, touchdown",6.970,7.000
2,,,,DET 2,17,0,Mike Nugent kicks extra point good,0.000,0.000
2,,,,ARI 30,17,0,"Mike Nugent kicks off 65 yards, returned by Derrick Williams for 27 yards (tackle by Early Doucet)",0.000,1.070
2,3:45,1,10,DET 32,17,0,Daunte Culpepper pass incomplete deep right intended for Bryant Johnson (defended by Dominique Rodgers-Cromartie),1.070,0.530
2,3:39,2,10,DET 32,17,0,"Daunte Culpepper pass incomplete deep right intended for Calvin Johnson (defended by Antrel Rolle). Penalty on Antrel Rolle: Illegal Contact, 5 yards (no play)",0.530,1.400
2,3:32,1,10,DET 37,17,0,Maurice Morris left end for 2 yards (tackle by Bryant McFadden),1.400,1.130
2,2:54,2,8,DET 39,17,0,Daunte Culpepper sacked by Kenny Iwebema for -4 yards,1.130,-0.100
2,2:17,3,12,DET 35,17,0,Daunte Culpepper sacked by Adrian Wilson and Clark Haggans for -11 yards,-0.100,-1.770
2,2:11,,,,17,0,Timeout #1 by Arizona Cardinals,0.000,-1.770
2,2:11,4,23,DET 24,17,0,"Nick Harris punts 46 yards, returned by Steve Breaston for 1 yard (tackle by Zack Follett)",-1.770,-1.000
