#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,DET 25,5,3:01,17,Punt
2,1,10:56,DET 21,6,3:34,22,Punt
3,1,1:37,DET 24,3,1:06,-4,Interception
4,2,13:01,DET 32,10,6:39,32,Missed FG
5,2,3:51,DET 32,4,1:51,-8,Punt
6,2,0:11,DET 27,2,0:11,20,End of Half
7,3,11:39,DET 16,5,2:51,17,Punt
8,3,7:54,DET 19,1,0:09,0,Interception
9,3,5:21,DET 36,1,0:11,64,Touchdown
10,3,3:36,DET 37,5,1:32,44,Field Goal
11,4,13:40,DET 38,4,2:28,14,Punt
12,4,11:12,ARI 17,4,1:38,9,Downs
13,4,8:06,DET 42,8,4:18,58,Touchdown
14,4,1:54,DET 31,4,0:48,7,Downs
