Unnamed: 0,ARI,DET
First Downs,21,15
Rush-Yds-TDs,27-122-3,27-161-2
Cmp-Att-Yd-TD-INT,22-36-228-1-1,16-31-136-0-2
Sacked-Yards,2-10,2-15
Net Pass Yards,218,121
Total Yards,340,282
Fumbles-Lost,2-2,2-1
Turnovers,3,3
Penalties-Yards,8-65,7-45
Third Down Conv.,4-12,5-15
Fourth Down Conv.,0-0,0-2
Time of Possession,29:43,30:17
