Unnamed: 0,CAR,SEA
First Downs,21,16
Rush-Yds-TDs,30-132-0,28-100-0
Cmp-Att-Yd-TD-INT,23-36-246-2-2,15-22-268-3-0
Sacked-Yards,2-16,2-20
Net Pass Yards,230,248
Total Yards,362,348
Fumbles-Lost,3-1,2-0
Turnovers,3,0
Penalties-Yards,5-35,6-60
Third Down Conv.,9-16,7-13
Fourth Down Conv.,1-1,0-0
Time of Possession,34:03,25:57
