Unnamed: 0,CIN,KAN
First Downs,12,18
Rush-Yds-TDs,34-116-2,25-113-0
Cmp-Att-Yd-TD-INT,13-19-127-0-0,23-35-230-1-1
Sacked-Yards,1-7,7-54
Net Pass Yards,120,176
Total Yards,236,289
Fumbles-Lost,2-1,4-2
Turnovers,1,3
Penalties-Yards,5-40,5-40
Third Down Conv.,4-13,5-15
Fourth Down Conv.,0-0,3-4
Time of Possession,28:03,31:57
