Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,CIN 30,0,0,"Shayne Graham kicks off 60 yards, returned by Dante Hall for 13 yards (tackle by Madieu Williams)",0.000,0.480
1,14:54,1,10,KAN 23,0,0,Eddie Kennison left end for 9 yards (tackle by Johnathan Joseph and Dexter Jackson),0.480,1.150
1,14:14,2,1,KAN 32,0,0,"Trent Green for no gain. Trent Green fumbles, recovered by Larry Johnson at KAN-24",1.150,-0.630
1,13:34,3,9,KAN 24,0,0,Trent Green pass complete short left to Dante Hall for 7 yards (tackle by Tory James),-0.630,-1.310
1,13:34,4,2,KAN 31,0,0,"Dustin Colquitt punts 47 yards, fair catch by Keiwan Ratliff",-1.310,-0.410
1,12:41,1,10,CIN 22,0,0,Carson Palmer pass complete short right to Tony Stewart for 7 yards (tackle by Ty Law and Tamba Hali),0.410,0.810
1,12:05,2,3,CIN 29,0,0,Rudi Johnson for 4 yards (tackle by Kendrell Bell),0.810,1.140
1,11:25,1,10,CIN 33,0,0,"Carson Palmer pass complete short left to Chris Henry for 11 yards (tackle by Patrick Surtain). Penalty on Willie Anderson: Offensive Holding, 10 yards (no play)",1.140,0.480
1,11:00,1,20,CIN 23,0,0,Rudi Johnson left end for 3 yards (tackle by Sammy Knight and Ryan Sims),0.480,-0.350
1,10:39,2,17,CIN 26,0,0,Carson Palmer pass complete to Chad Johnson for 7 yards (tackle by Lenny Walls),-0.350,-0.100
1,9:39,3,10,CIN 33,0,0,Carson Palmer pass incomplete short right intended for Chris Henry (defended by Kawika Mitchell),-0.100,-1.180
1,9:33,4,10,CIN 33,0,0,"Kyle Larson punts 45 yards, returned by Dante Hall for no gain",-1.180,-0.410
1,9:23,1,10,KAN 22,0,0,Larry Johnson middle for 16 yards (tackle by Dexter Jackson),0.410,1.470
1,8:42,1,10,KAN 38,0,0,Trent Green pass complete short left to Tony Gonzalez for 15 yards (tackle by Brian Simmons),1.470,2.460
1,8:42,1,10,CIN 47,0,0,Larry Johnson right end for no gain (tackle by John Thornton),2.460,1.910
1,7:36,2,10,CIN 47,0,0,Trent Green pass complete to Tony Gonzalez for 6 yards (tackle by Brian Simmons),1.910,2.010
1,6:55,3,4,CIN 41,0,0,Trent Green pass complete short middle to Eddie Kennison for 14 yards (tackle by Deltha O'Neal),2.010,3.780
1,6:18,1,10,CIN 27,0,0,Larry Johnson middle for 2 yards (tackle by Rashad Jeanty),3.780,3.500
1,5:45,2,8,CIN 25,0,0,Larry Johnson right end for 9 yards (tackle by Rashad Jeanty),3.500,4.510
1,5:04,1,10,CIN 16,0,0,Larry Johnson left end for 1 yard (tackle by Domata Peko),4.510,4.050
1,4:24,2,9,CIN 15,0,0,Larry Johnson middle for 4 yards (tackle by Brian Simmons and Robert Geathers),4.050,3.940
1,3:47,3,5,CIN 11,0,0,Larry Johnson middle for no gain (tackle by Brian Simmons),3.940,2.750
1,3:09,4,5,CIN 11,0,3,Lawrence Tynes 29 yard field goal good,2.750,3.000
1,,,,KAN 30,0,3,"Lawrence Tynes kicks off 71 yards, returned by Tab Perry for 34 yards (tackle by Kris Griffin)",0.000,1.140
1,2:58,1,10,CIN 33,0,3,Chad Johnson left end for 8 yards (tackle by Kendrell Bell),1.140,1.670
1,2:19,2,2,CIN 41,0,3,"Penalty on Willie Anderson: False Start, 5 yards (no play)",1.670,1.000
1,1:56,2,7,CIN 36,0,3,Rudi Johnson middle for 3 yards (tackle by James Reed),1.000,0.700
1,1:18,3,4,CIN 39,0,3,Carson Palmer pass incomplete deep left intended for Chad Johnson,0.700,-0.780
1,1:14,4,4,CIN 39,0,3,"Kyle Larson punts 41 yards, muffed catch by Dante Hall, recovered by Rashad Jeanty and returned for no gain",-0.780,4.650
1,1:00,1,10,KAN 14,0,3,Rudi Johnson middle for no gain (tackle by Sammy Knight),4.650,4.000
1,0:24,2,10,KAN 14,0,3,Carson Palmer pass complete to Chris Henry for -5 yards (tackle by Ty Law),4.000,2.730
Quarter,Time,Down,ToGo,Location,CIN,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,15,KAN 19,0,3,Carson Palmer pass incomplete deep middle intended for Chad Johnson,2.730,2.180
2,15:00,4,15,KAN 19,3,3,Shayne Graham 37 yard field goal good,2.180,3.000
2,,,,CIN 30,3,3,"Shayne Graham kicks off 70 yards, touchback",0.000,0.280
