Quarter,Time,Tm,Detail,CIN,KAN
1.0,3:05,Chiefs,Lawrence Tynes 29 yard field goal,0,3
2.0,14:53,Bengals,Shayne Graham 37 yard field goal,3,3
,5:15,Bengals,Rudi Johnson 22 yard rush (Shayne Graham kick),10,3
,1:05,Bengals,Kenny Watson 8 yard rush (Shayne Graham kick),17,3
4.0,11:35,Bengals,Shayne Graham 42 yard field goal,20,3
,3:52,Chiefs,Tony Gonzalez 9 yard pass from Damon Huard (Lawrence Tynes kick),20,10
,1:09,Bengals,Shayne Graham 36 yard field goal,23,10
