Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,STL 30,0,0,"Jeff Wilkins kicks off 57 yards, returned by Lee Suggs for 24 yards (tackle by Jeremy Loyd)",0.000,1.400
1,14:54,1,10,CLE 37,0,0,Dennis Northcutt left end for 9 yards (tackle by Travis Fisher),1.400,2.070
1,14:19,2,1,CLE 46,0,0,James Jackson right guard for 2 yards (tackle by Ryan Pickett),2.070,2.130
1,13:43,1,10,CLE 48,0,0,Kelly Holcomb pass incomplete intended for Quincy Morgan,2.130,1.580
1,13:39,2,10,CLE 48,0,0,Kelly Holcomb pass incomplete intended for James Jackson,1.580,0.890
1,13:34,3,10,CLE 48,0,0,Kelly Holcomb sacked by Aeneas Williams for -6 yards,0.890,-0.590
1,13:13,4,16,CLE 42,0,0,Chris Gardocki punts 40 yards,-0.590,-1.800
1,12:56,1,10,STL 43,0,0,Marshall Faulk right guard for no gain (tackle by Robert Griffith and Orpheus Roye),1.800,1.250
1,12:18,2,10,STL 43,0,0,Marshall Faulk right guard for 15 yards (tackle by Earl Little),1.250,2.790
1,11:36,1,10,CLE 42,0,0,Marc Bulger pass complete to Isaac Bruce for 10 yards (tackle by Kevin Bentley),2.790,3.450
1,10:53,1,10,CLE 32,0,0,Marshall Faulk left tackle for -1 yards (tackle by Brant Boyer and Gerard Warren),3.450,2.770
1,10:09,2,11,CLE 33,0,0,Marc Bulger pass complete to Torry Holt for 9 yards (tackle by Robert Griffith),2.770,3.270
1,9:23,3,2,CLE 24,0,0,Marc Bulger pass incomplete intended for Dane Looker (defended by Orpheus Roye),3.270,1.990
1,9:19,4,2,CLE 24,0,0,Jeff Wilkins for 7 yards (tackle by Roosevelt Williams),1.990,4.440
1,8:49,1,10,CLE 17,0,0,Marshall Faulk left tackle for 3 yards (tackle by Brant Boyer and Courtney Brown),4.440,4.320
1,8:07,2,7,CLE 14,0,0,Marshall Faulk left tackle for 4 yards (tackle by Brant Boyer and Earl Little),4.320,4.340
1,7:26,3,3,CLE 10,0,0,Marc Bulger pass incomplete intended for Marshall Faulk,4.340,2.860
1,7:22,4,3,CLE 10,3,0,Jeff Wilkins 28 yard field goal good,2.860,3.000
1,,,,STL 30,3,0,"Jeff Wilkins kicks off 62 yards, returned by Lee Suggs for 20 yards (tackle by Kevin Garrett)",0.000,0.810
1,7:12,1,10,CLE 28,3,0,"Kelly Holcomb pass complete to Darnell Sanders for 7 yards (tackle by Tommy Polley). Penalty on Pisa Tinoisamoa: Roughing the Passer, 15 yards",0.810,2.260
1,6:48,1,10,CLE 50,3,0,James Jackson left guard for 2 yards (tackle by Leonard Little),2.260,1.980
1,6:09,2,8,STL 48,3,0,Kelly Holcomb pass complete to Quincy Morgan for 16 yards (tackle by Travis Fisher),1.980,3.450
1,5:35,1,10,STL 32,3,0,James Jackson right end for 8 yards (tackle by Tommy Polley and Brian Young),3.450,3.980
1,4:53,2,2,STL 24,3,0,Kelly Holcomb pass incomplete intended for Chad Mustard,3.980,3.270
1,4:49,3,2,STL 24,3,0,Jamel White left end for 22 yards (tackle by Rich Coady),3.270,6.740
1,4:17,1,2,STL 2,3,6,"Kelly Holcomb pass complete to Keith Heinrich for 2 yards, touchdown",6.740,7.000
1,,,,STL 2,3,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,3,7,"Phil Dawson kicks off 53 yards, returned by Arlen Harris for 24 yards (tackle by Michael Jameson)",0.000,1.660
1,4:06,1,10,STL 41,3,7,Marshall Faulk left tackle for 2 yards (tackle by Brant Boyer and Orpheus Roye),1.660,1.390
1,3:27,2,8,STL 43,3,7,Marc Bulger pass complete to Marshall Faulk for 10 yards (tackle by Brant Boyer),1.390,2.460
1,2:47,1,10,CLE 47,3,7,Marshall Faulk right guard for no gain (tackle by Brant Boyer and Courtney Brown),2.460,1.910
1,2:06,2,10,CLE 47,3,7,Marc Bulger right end for 5 yards (tackle by Gerard Warren),1.910,1.880
1,1:33,3,5,CLE 42,3,7,Marc Bulger pass incomplete intended for Torry Holt,1.880,0.460
1,1:31,4,5,CLE 42,3,7,"Sean Landeta punts 32 yards, fair catch by Dennis Northcutt",0.460,0.380
1,1:24,1,10,CLE 10,3,7,James Jackson left guard for 18 yards (tackle by Leonard Little),-0.380,0.810
1,0:46,1,10,CLE 28,3,7,"Penalty on Darnell Sanders: False Start, 5 yards (no play)",0.810,0.480
1,0:30,1,15,CLE 23,3,7,Jamel White right end for 2 yards (tackle by Jerametrius Butler),0.480,-0.140
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,CLE 25,3,7,Jamel White right guard for -4 yards (tackle by Tommy Polley),-0.140,-1.350
2,14:19,3,17,CLE 21,3,7,Kelly Holcomb pass incomplete intended for Quincy Morgan. Penalty on Shaun O'Hara: Ineligible Downfield Pass (Declined),-1.350,-1.960
2,14:13,4,17,CLE 21,3,7,"Chris Gardocki punts 45 yards, muffed catch by Mike Furrey, recovered by Mike Furrey and returned for -2 yards (tackle by Leigh Bodden)",-1.960,-1.070
2,14:05,1,10,STL 32,3,7,Marshall Faulk right tackle for 3 yards (tackle by Brant Boyer and Chris Crocker),1.070,0.930
2,13:28,2,7,STL 35,3,7,Marc Bulger pass incomplete intended for Torry Holt is intercepted by Earl Little at CLE-48,0.930,-2.130
,,,,,,,"STL challenged the ruling, and the original play was overturned.",,
2,13:19,1,10,CLE 48,3,7,Kelly Holcomb pass complete to Quincy Morgan for 21 yards (tackle by Aeneas Williams),2.130,3.510
2,12:46,1,10,STL 31,3,7,Jamel White right end for -2 yards (tackle by Ryan Pickett and Jamie Duncan),3.510,2.700
2,12:07,2,12,STL 33,3,7,"Kelly Holcomb sacked by Leonard Little for -8 yards. Kelly Holcomb fumbles (forced by Leonard Little), recovered by Leonard Little at STL-41 (tackle by Kelly Holcomb)",2.700,-1.730
2,11:58,1,10,STL 42,3,7,Marshall Faulk left guard for 9 yards (tackle by Daylon McCutcheon),1.730,2.400
2,11:20,2,1,CLE 49,3,7,Marshall Faulk right tackle for no gain (tackle by Orpheus Roye),2.400,1.690
2,10:56,3,1,CLE 49,3,7,Marc Bulger pass complete to John St. Clair for 18 yards (tackle by Robert Griffith),1.690,3.510
2,10:13,1,10,CLE 31,3,7,Marc Bulger pass complete to Brandon Manumaleuna for 13 yards (tackle by Robert Griffith),3.510,4.370
2,9:34,1,10,CLE 18,3,7,Marc Bulger pass incomplete intended for Isaac Bruce,4.370,3.800
2,9:30,2,10,CLE 18,3,7,Marshall Faulk left tackle for 10 yards (tackle by Orpheus Roye and Earl Little),3.800,5.370
2,8:57,,,,3,7,Timeout #1 by Cleveland Browns,0.000,5.370
2,8:57,1,8,CLE 8,3,7,Marshall Faulk left guard for no gain (tackle by Andra Davis and Kevin Bentley),5.370,4.570
2,8:15,2,8,CLE 8,3,7,Marc Bulger pass incomplete intended for Torry Holt (defended by Orpheus Roye),4.570,3.580
2,8:11,3,8,CLE 8,3,7,Marc Bulger pass incomplete intended for Dane Looker (defended by Robert Griffith). Penalty on Andy McCollum: Offensive Holding (Declined),3.580,2.950
2,8:05,4,8,CLE 8,6,7,Jeff Wilkins 26 yard field goal good,2.950,3.000
2,,,,STL 30,6,7,"Jeff Wilkins kicks off 61 yards, returned by Lee Suggs for 22 yards (tackle by Travis Fisher)",0.000,1.000
2,7:55,1,10,CLE 31,6,7,"Lee Suggs left guard for 2 yards (tackle by Ryan Pickett and Leonard Little). Penalty on Ryan Tucker: Offensive Holding, 10 yards (no play)",1.000,0.340
2,7:36,1,20,CLE 21,6,7,Kelly Holcomb pass complete to Quincy Morgan for -1 yards (tackle by Tommy Polley),0.340,-1.030
2,6:58,2,21,CLE 20,6,7,Kelly Holcomb pass complete to Dennis Northcutt for 7 yards (tackle by Aeneas Williams),-1.030,-0.760
2,6:17,3,14,CLE 27,6,7,Kelly Holcomb pass complete to Jamel White for 9 yards (tackle by Jason Sehorn),-0.760,-0.980
2,5:41,4,5,CLE 36,6,7,Chris Gardocki punts 35 yards,-0.980,-0.870
2,5:32,1,10,STL 29,6,7,Marc Bulger pass complete to Marshall Faulk for 21 yards (tackle by Chris Crocker),0.870,2.260
2,4:56,1,10,CLE 50,6,7,Marc Bulger sacked by Orpheus Roye for -1 yards,2.260,1.580
2,4:19,2,11,STL 49,6,7,Marshall Faulk right tackle for 8 yards (tackle by Orpheus Roye and Brant Boyer),1.580,1.950
2,3:43,,,,6,7,Timeout #1 by St. Louis Rams,0.000,1.950
2,3:43,3,3,CLE 43,6,7,Marc Bulger pass complete to Dane Looker for 31 yards (tackle by Robert Griffith),1.950,4.780
2,3:16,1,10,CLE 12,6,7,Marc Bulger pass complete to Marshall Faulk for no gain,4.780,4.100
2,2:32,2,10,CLE 12,6,7,Marc Bulger up the middle for 1 yard (tackle by Brant Boyer and Courtney Brown),4.100,3.290
2,2:00,3,9,CLE 11,6,7,Marc Bulger pass incomplete intended for Dane Looker,3.290,2.700
2,1:56,4,9,CLE 11,9,7,Jeff Wilkins 29 yard field goal good,2.700,3.000
2,,,,STL 30,9,7,"Jeff Wilkins kicks off 62 yards, returned by Lee Suggs for 23 yards (tackle by Bryce Fisher)",0.000,1.000
2,1:46,1,10,CLE 31,9,7,Kelly Holcomb pass complete to Darnell Sanders for 8 yards (tackle by Travis Fisher),1.000,1.540
2,1:26,2,2,CLE 39,9,7,"Penalty on Ryan Tucker: False Start, 5 yards (no play)",1.540,0.870
2,1:22,2,7,CLE 34,9,7,Kelly Holcomb pass complete to Dennis Northcutt for 8 yards (tackle by Aeneas Williams),0.870,1.730
2,1:17,1,10,CLE 42,9,7,Kelly Holcomb pass incomplete intended for Dennis Northcutt,1.730,1.190
2,1:13,2,10,CLE 42,15,7,"Kelly Holcomb pass incomplete intended for Quincy Morgan is intercepted by Aeneas Williams at CLE-46 and returned for 46 yards, touchdown",1.190,-7.000
2,,,,CLE 2,16,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,16,7,"Jeff Wilkins kicks off 59 yards, returned by Lee Suggs for 23 yards (tackle by Jamie Duncan)",0.000,1.200
2,0:58,1,10,CLE 34,16,7,Kelly Holcomb pass complete to Jamel White for 3 yards (tackle by Jerametrius Butler),1.200,1.060
2,0:49,2,7,CLE 37,16,7,Kelly Holcomb pass incomplete intended for Dennis Northcutt is intercepted by Aeneas Williams at CLE-47 and returned for 27 yards (tackle by Melvin Fowler),1.060,-4.240
2,0:39,1,10,CLE 20,16,7,Marc Bulger pass complete to Mike Furrey for 4 yards (tackle by Robert Griffith),4.240,4.280
2,0:28,,,,16,7,Timeout #2 by St. Louis Rams,0.000,4.280
2,0:28,2,6,CLE 16,22,7,"Marc Bulger pass complete to Isaac Bruce for 16 yards, touchdown",4.280,7.000
2,,,,CLE 2,23,7,Jeff Wilkins kicks extra point good,0.000,0.000
2,,,,STL 30,23,7,"Jeff Wilkins kicks off 35 yards, returned by Chad Mustard for 6 yards (tackle by Rich Coady)",0.000,1.660
2,0:17,1,10,CLE 41,23,7,"Tim Couch pass complete to Jamel White for 7 yards (tackle by Tommy Polley). Penalty on Shaun O'Hara: Ineligible Downfield Pass (Offsetting), Penalty on Tommy Polley: Face Mask (5 Yards) (Offsetting) (no play)",1.660,1.660
2,0:08,1,10,CLE 41,23,7,Jamel White up the middle for 16 yards (tackle by Aeneas Williams and Jason Sehorn),1.660,2.720
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,23,7,"Phil Dawson kicks off 62 yards, returned by Arlen Harris for 14 yards (tackle by Sherrod Coates). Penalty on Jerametrius Butler: Illegal Block Above the Waist, 10 yards",0.000,-0.350
3,14:49,1,10,STL 12,23,7,Marshall Faulk left tackle for 1 yard (tackle by Brant Boyer and Kenard Lang),-0.350,-0.700
3,14:16,,,,23,7,Timeout #1 by St. Louis Rams,0.000,-0.700
3,14:16,2,9,STL 13,23,7,Marc Bulger left end for 5 yards (tackle by Orpheus Roye and Brant Boyer),-0.700,-0.720
3,13:27,3,4,STL 18,23,7,Marc Bulger sacked by Kenard Lang and Gerard Warren for -5 yards,-0.720,-2.490
3,13:04,4,9,STL 13,23,7,Sean Landeta punts 29 yards,-2.490,-2.790
3,12:58,1,10,STL 42,23,7,Jamel White left guard for 10 yards (tackle by Travis Fisher and Aeneas Williams),2.790,3.450
3,12:31,1,10,STL 32,23,7,Dennis Northcutt for 7 yards,3.450,3.850
3,12:12,2,3,STL 25,23,7,Jamel White left guard for 2 yards (tackle by Aeneas Williams and Ryan Pickett),3.850,3.400
3,11:27,3,1,STL 23,23,7,"Jamel White left end for 21 yards (tackle by Brian Young). Penalty on Barry Stokes: Offensive Holding, 10 yards (no play)",3.400,2.080
3,11:03,3,11,STL 33,23,7,"Tim Couch sacked by Tyoka Jackson for -12 yards. Penalty on Leonard Little: Defensive Offside, 5 yards (no play)",2.080,2.740
3,10:37,3,6,STL 28,23,13,"Tim Couch pass complete to Quincy Morgan for 28 yards, touchdown",2.740,7.000
3,,,,,23,13,"Two Point Attempt: Tim Couch pass incomplete intended for Quincy Morgan, conversion fails",1.000,-1.000
3,,,,CLE 30,23,13,"Phil Dawson kicks off 61 yards, returned by Arlen Harris for 28 yards (tackle by Michael Lehan)",0.000,1.400
3,10:23,1,10,STL 37,23,13,Marshall Faulk left tackle for 9 yards (tackle by Andra Davis and Anthony Henry),1.400,2.070
3,9:43,2,1,STL 46,23,13,Marshall Faulk right guard for 3 yards (tackle by Brant Boyer),2.070,2.190
3,9:03,1,10,STL 49,23,13,Marc Bulger pass incomplete intended for Marshall Faulk,2.190,1.650
3,8:58,2,10,STL 49,23,13,Marc Bulger pass complete to Torry Holt for 7 yards (tackle by Anthony Henry),1.650,1.880
3,8:15,3,3,CLE 44,23,13,Marc Bulger pass complete to Mike Furrey for 6 yards (tackle by Anthony Henry),1.880,3.050
3,7:40,1,10,CLE 38,23,13,Marc Bulger pass complete to Torry Holt for 4 yards (tackle by Michael Lehan),3.050,3.050
3,7:00,2,6,CLE 34,23,13,Marc Bulger left end for 1 yard (tackle by Mark Word),3.050,2.480
3,6:18,3,5,CLE 33,23,13,Marc Bulger pass complete to Dane Looker for 12 yards (tackle by Michael Lehan),2.480,4.170
3,5:37,1,10,CLE 21,23,13,"Marshall Faulk for 20 yards (tackle by Michael Lehan). Penalty on STL: Illegal Shift, 5 yards (no play)",4.170,3.840
3,5:28,1,15,CLE 26,23,13,Marc Bulger pass incomplete intended for Isaac Bruce,3.840,2.950
3,5:23,2,15,CLE 26,23,13,Marc Bulger pass complete to Marshall Faulk for -4 yards (tackle by Orpheus Roye),2.950,1.750
3,4:42,,,,23,13,Timeout #2 by St. Louis Rams,0.000,1.750
3,4:42,3,19,CLE 30,23,13,Marc Bulger pass complete to Marshall Faulk for 11 yards (tackle by Brant Boyer),1.750,2.180
3,3:58,4,8,CLE 19,26,13,Jeff Wilkins 37 yard field goal good,2.180,3.000
3,,,,STL 30,26,13,"Jeff Wilkins kicks off 53 yards, returned by Lee Suggs for 26 yards (tackle by Jeff Wilkins)",,
3,3:44,1,10,CLE 43,26,13,Tim Couch pass complete to Andra Davis for 17 yards (tackle by Jerametrius Butler),1.800,2.920
3,3:09,1,10,STL 40,26,13,Jamel White for 9 yards (tackle by Aeneas Williams),2.920,3.590
3,2:38,2,1,STL 31,26,13,"Tim Couch sacked by Tyoka Jackson for -8 yards. Tim Couch fumbles (forced by Tyoka Jackson), recovered by Pisa Tinoisamoa at STL-37 and returned for 5 yards (tackle by Darnell Sanders)",3.590,-1.730
3,2:30,1,10,STL 42,26,13,Marshall Faulk left tackle for 1 yard (tackle by Kenard Lang),1.730,1.320
3,1:51,2,9,STL 43,26,13,Marc Bulger pass complete to Dane Looker for 7 yards,1.320,1.550
3,1:19,3,2,CLE 50,26,13,Marc Bulger pass incomplete intended for Marshall Faulk,1.550,-0.060
3,1:13,4,2,CLE 50,26,13,Sean Landeta punts 33 yards,-0.060,0.060
3,1:06,1,10,CLE 17,26,13,Jamel White up the middle for 6 yards (tackle by Grant Wistrom and Tommy Polley),-0.060,0.350
3,0:36,2,4,CLE 23,26,13,Jamel White up the middle for 6 yards (tackle by Jerametrius Butler and Ryan Pickett),0.350,0.870
Quarter,Time,Down,ToGo,Location,STL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,CLE 29,26,13,Andra Davis right end for 7 yards (tackle by Jerametrius Butler),0.870,1.270
4,14:23,2,3,CLE 36,26,13,Jamel White left guard for 10 yards (tackle by Tyoka Jackson and Tommy Polley),1.270,1.990
4,13:46,1,10,CLE 46,26,13,Tim Couch pass complete to Jamel White for 20 yards (tackle by Jamie Duncan),1.990,3.310
4,13:10,1,10,STL 34,26,13,Jamel White left tackle for no gain (tackle by Tyoka Jackson and Ryan Pickett),3.310,2.770
4,12:34,2,10,STL 34,26,13,Jamel White right guard for 6 yards (tackle by Bryce Fisher),2.770,2.870
4,11:54,3,4,STL 28,26,13,Tim Couch pass complete to Dennis Northcutt for 18 yards (tackle by Aeneas Williams),2.870,4.910
4,11:11,1,10,STL 10,26,13,Tim Couch pass complete to Andre King for 8 yards (tackle by Pisa Tinoisamoa),4.910,5.720
4,10:27,2,2,STL 2,26,13,Tim Couch pass incomplete intended for Ryan Tucker,5.720,4.950
4,10:22,3,2,STL 2,26,19,"Jamel White right guard for 2 yards, touchdown",4.950,7.000
4,,,,STL 2,26,20,Phil Dawson kicks extra point good,0.000,0.000
4,,,,CLE 30,26,20,"Phil Dawson kicks off 41 yards, returned by Joey Goodspeed for 1 yard (tackle by Andre King)",0.000,0.940
4,10:13,1,10,STL 30,26,20,Marc Bulger pass complete to Cam Cleeland for 9 yards (tackle by Anthony Henry),0.940,1.610
4,9:44,2,1,STL 39,26,20,Marshall Faulk right guard for 2 yards (tackle by Daylon McCutcheon),1.610,1.660
4,9:04,1,10,STL 41,26,20,Marc Bulger pass complete to Marshall Faulk for 5 yards (tackle by Kevin Bentley),1.660,1.800
4,8:24,2,5,STL 46,26,20,Marshall Faulk left guard for 6 yards (tackle by Andra Davis and Mark Word),1.800,2.390
4,7:44,1,10,CLE 48,26,20,Marc Bulger pass incomplete intended for Torry Holt,2.390,1.850
4,7:39,2,10,CLE 48,26,20,Marc Bulger pass incomplete intended for Isaac Bruce,1.850,1.160
4,7:34,3,10,CLE 48,26,20,Marc Bulger pass complete to Mike Furrey for 18 yards (tackle by Robert Griffith),1.160,3.580
4,6:53,1,10,CLE 30,26,20,Marc Bulger pass complete to Torry Holt for 11 yards (tackle by Anthony Henry),3.580,4.310
4,6:07,,,,26,20,Timeout #3 by St. Louis Rams,0.000,4.310
4,6:07,1,10,CLE 19,26,20,Marc Bulger sacked by Kenard Lang for -7 yards,4.310,2.820
4,5:41,2,17,CLE 26,26,20,Marshall Faulk left guard for 5 yards (tackle by Orpheus Roye and Brant Boyer),2.820,2.810
4,4:57,3,12,CLE 21,26,20,Marc Bulger pass incomplete intended for Mike Furrey (defended by Kenard Lang),2.810,2.060
4,4:52,4,12,CLE 21,26,20,Jeff Wilkins 39 yard field goal no good,2.060,-0.870
4,4:48,1,10,CLE 29,26,20,Jamel White right guard for 16 yards (tackle by Adam Archuleta and Jerametrius Butler),0.870,1.930
4,4:10,1,10,CLE 45,26,20,Tim Couch sacked by Pisa Tinoisamoa for -5 yards,1.930,0.710
4,3:40,2,15,CLE 40,26,20,Jamel White right tackle for no gain (tackle by Grant Wistrom and Tommy Polley),0.710,0.040
4,3:04,3,15,CLE 40,26,20,Tim Couch for 8 yards,0.040,-0.190
4,2:56,4,7,CLE 48,26,20,"Chris Gardocki punts 52 yards, touchback",-0.190,-0.280
4,2:46,1,10,STL 20,26,20,"Penalty on John St. Clair: False Start, 5 yards (no play)",0.280,-0.310
4,2:46,1,15,STL 15,26,20,Marshall Faulk right guard for -5 yards (tackle by Gerard Warren and Anthony Henry),-0.310,-1.510
4,2:38,,,,26,20,Timeout #1 by Cleveland Browns,0.000,-1.510
4,2:38,2,20,STL 10,26,20,Marshall Faulk left end for 6 yards (tackle by Earl Little). Penalty on Isaac Bruce: Offensive Holding (Declined),-1.510,-1.690
4,2:32,3,14,STL 16,26,20,Marc Bulger pass complete to Isaac Bruce for 5 yards (tackle by Daylon McCutcheon),-1.690,-1.960
4,2:24,,,,26,20,Timeout #2 by Cleveland Browns,0.000,-1.960
4,2:24,4,9,STL 21,26,20,Sean Landeta punts 52 yards (tackle by Cam Cleeland),-1.960,-2.460
4,2:11,1,10,STL 47,26,20,Tim Couch pass incomplete intended for Dennis Northcutt (defended by Tyoka Jackson),2.460,1.910
4,2:06,2,10,STL 47,26,20,Tim Couch pass complete to Jamel White for 7 yards (tackle by Adam Archuleta),1.910,2.150
4,2:00,3,3,STL 40,26,20,Tim Couch pass incomplete intended for Andre King,2.150,0.590
4,1:56,4,3,STL 40,26,20,"Tim Couch sacked by Brian Young for -5 yards. Tim Couch fumbles (forced by Brian Young), recovered by Enoch DeMar at STL-46",0.590,-1.990
4,1:48,1,10,STL 46,26,20,Marshall Faulk right tackle for 9 yards (tackle by Kevin Bentley),1.990,2.670
4,1:38,,,,26,20,Timeout #3 by Cleveland Browns,0.000,2.670
4,1:38,2,1,CLE 45,26,20,Marshall Faulk up the middle for 12 yards (tackle by Earl Little),2.670,3.380
4,0:55,1,10,CLE 33,26,20,Marc Bulger kneels for -2 yards,3.380,2.570
4,0:23,2,12,CLE 35,26,20,Marc Bulger kneels for -1 yards,2.570,1.750
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
