Unnamed: 0,STL,CLE
First Downs,18,18
Rush-Yds-TDs,31-118-0,24-162-1
Cmp-Att-Yd-TD-INT,22-36-223-1-1,16-26-178-2-2
Sacked-Yards,3-13,5-31
Net Pass Yards,210,147
Total Yards,328,309
Fumbles-Lost,1-0,3-2
Turnovers,1,4
Penalties-Yards,5-40,4-30
Third Down Conv.,5-15,4-9
Fourth Down Conv.,1-1,0-1
Time of Possession,35:03,24:57
