Unnamed: 0,NOR,SFO
First Downs,17,24
Rush-Yds-TDs,24-50-0,26-142-2
Cmp-Att-Yd-TD-INT,28-38-254-2-0,23-32-275-1-2
Sacked-Yards,2-17,0-0
Net Pass Yards,237,275
Total Yards,287,417
Fumbles-Lost,1-0,4-2
Turnovers,0,4
Penalties-Yards,5-54,5-40
Third Down Conv.,6-14,5-9
Fourth Down Conv.,0-0,0-0
Time of Possession,32:40,27:20
