Quarter,Time,Down,ToGo,Location,NOR,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,NOR 30,0,0,"Thomas Morstead kicks off 69 yards, returned by Delanie Walker for 51 yards (tackle by Roman Harper). Penalty on Moran Norris: Offensive Holding, 10 yards",0.000,-0.380
1,14:52,1,10,SFO 10,0,0,Frank Gore middle for 1 yard (tackle by Alex Brown),-0.380,-0.710
1,14:10,2,9,SFO 11,0,0,Frank Gore right guard for 4 yards (tackle by Tracy Porter),-0.710,-0.840
1,13:32,3,5,SFO 15,2,0,"Alex Smith for no gain. Alex Smith fumbles, safety. Penalty on Alex Smith: Illegal Bat (Declined)",-0.840,-2.000
1,,,,SFO 20,2,0,"Andy Lee kicks off 35 yards, returned by Heath Evans for 9 yards (tackle by Curtis Taylor)",0.000,2.520
1,13:23,1,10,SFO 46,2,0,Reggie Bush right tackle for 3 yards (tackle by Patrick Willis),2.520,2.380
1,12:48,2,7,SFO 43,2,0,Drew Brees pass complete short right to Pierre Thomas for 7 yards (tackle by Takeo Spikes),2.380,3.180
1,12:19,1,10,SFO 36,2,0,Pierre Thomas right guard for 5 yards (tackle by Justin Smith),3.180,3.310
1,11:49,2,5,SFO 31,2,0,Drew Brees pass complete short right to David Thomas for 4 yards (tackle by Takeo Spikes),3.310,3.140
1,11:00,3,1,SFO 27,2,0,Drew Brees pass complete short right to Heath Evans for 18 yards (tackle by Michael Lewis),3.140,5.140
1,10:19,1,9,SFO 9,2,0,Pierre Thomas right tackle for 3 yards (tackle by Aubrayo Franklin),5.140,4.950
1,9:37,2,6,SFO 6,8,0,"Drew Brees pass complete short middle to Reggie Bush for 6 yards, touchdown",4.950,7.000
1,,,,SFO 2,9,0,Garrett Hartley kicks extra point good,0.000,0.000
1,,,,NOR 30,9,0,"Thomas Morstead kicks off 54 yards, returned by Moran Norris for 12 yards (tackle by Usama Young)",0.000,0.810
1,9:26,1,10,SFO 28,9,0,Frank Gore middle for 5 yards (tackle by Roman Harper),0.810,0.940
1,8:52,2,5,SFO 33,9,0,Frank Gore right tackle for 3 yards (tackle by Scott Shanle),0.940,0.630
1,8:09,3,2,SFO 36,9,0,Brian Westbrook middle for no gain (tackle by Jabari Greer),0.630,-0.980
1,7:41,4,2,SFO 36,9,0,"Andy Lee punts 54 yards, returned by Reggie Bush for no gain",-0.980,0.380
1,7:26,1,10,NOR 10,9,0,Drew Brees pass complete short right to Devery Henderson for 9 yards (tackle by Manny Lawson),-0.380,0.240
