Unnamed: 0,KAN,BAL
First Downs,25,13
Rush-Yds-TDs,46-178-2,20-80-1
Cmp-Att-Yd-TD-INT,21-31-223-1-0,10-17-154-1-0
Sacked-Yards,1-3,4-27
Net Pass Yards,220,127
Total Yards,398,207
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,10-72,6-54
Third Down Conv.,8-16,1-8
Fourth Down Conv.,0-0,0-1
Time of Possession,39:43,20:17
