Unnamed: 0,DET,ARI
First Downs,16,22
Rush-Yds-TDs,31-122-1,21-61-0
Cmp-Att-Yd-TD-INT,15-23-101-0-0,26-41-240-0-1
Sacked-Yards,1-5,3-22
Net Pass Yards,96,218
Total Yards,218,279
Fumbles-Lost,2-1,2-0
Turnovers,1,1
Penalties-Yards,7-68,8-83
Third Down Conv.,4-12,6-16
Fourth Down Conv.,0-0,0-1
Time of Possession,28:16,31:44
