Quarter,Time,Tm,Detail,DET,ARI
2.0,9:35,Lions,Matt Prater 47 yard field goal,3,0
3.0,3:03,Lions,Darius Slay 67 yard interception return (Matt Prater kick),10,0
4.0,8:14,Cardinals,Zane Gonzalez 22 yard field goal,10,3
,4:05,Lions,Zach Zenner 1 yard rush (Matt Prater kick),17,3
