Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Mike Nugent kicks off 70 yards, returned by Felix Jones for 36 yards (tackle by Mike Nugent)",0.000,1.330
1,14:52,1,10,DAL 36,0,0,Marion Barber left guard for -1 yards (tackle by Ronde Barber),1.330,0.660
1,14:21,2,11,DAL 35,0,0,Tony Romo pass complete short right to Roy Williams for 7 yards,0.660,0.890
1,13:36,3,4,DAL 42,0,0,Tashard Choice left tackle for 7 yards (tackle by Jermaine Phillips),0.890,2.190
1,12:52,1,10,DAL 49,0,0,Tony Romo pass complete short left to Roy Williams for 13 yards (tackle by Aqib Talib),2.190,3.050
1,12:17,1,10,TAM 38,0,0,Marion Barber right end for 12 yards (tackle by Aqib Talib),3.050,3.840
1,11:49,1,10,TAM 26,0,0,Tony Romo sacked by Ronde Barber for -9 yards,3.840,2.080
1,11:10,2,19,TAM 35,0,0,Tony Romo left end for 2 yards (tackle by Chris Hovan),2.080,1.690
1,10:22,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,1.690
1,10:22,3,17,TAM 33,0,0,Felix Jones right end for no gain (tackle by Jermaine Phillips),1.690,1.150
1,9:42,4,17,TAM 33,3,0,Nick Folk 51 yard field goal good,1.150,3.000
1,,,,DAL 30,3,0,"David Buehler kicks off 70 yards, touchback",0.000,0.280
1,9:35,1,10,TAM 20,3,0,Cadillac Williams right guard for 2 yards (tackle by Keith Brooking),0.280,0.000
1,9:01,2,8,TAM 22,3,0,Cadillac Williams left tackle for 11 yards (tackle by Keith Brooking and Gerald Sensabaugh),0.000,1.140
1,8:16,1,10,TAM 33,3,0,Byron Leftwich pass complete short middle to Kellen Winslow for 19 yards (tackle by DeMarcus Ware and Ken Hamlin),1.140,2.390
1,7:40,1,10,DAL 48,3,0,Byron Leftwich pass complete short left to Jerramy Stevens for 14 yards (tackle by Gerald Sensabaugh),2.390,3.310
1,7:02,1,10,DAL 34,3,0,Cadillac Williams right tackle for 14 yards (tackle by Ken Hamlin and Gerald Sensabaugh),3.310,4.240
1,6:24,1,10,DAL 20,3,0,"Byron Leftwich pass complete short left to Antonio Bryant for 14 yards (tackle by Ken Hamlin). Penalty on Michael Clayton: Illegal Shift, 5 yards (no play)",4.240,3.910
1,5:48,1,15,DAL 25,3,0,Byron Leftwich pass complete short left to Michael Clayton for 4 yards (tackle by Mike Jenkins),3.910,3.560
1,5:24,2,11,DAL 21,3,0,Cadillac Williams right guard for 1 yard (tackle by Marcus Spears),3.560,3.010
1,4:46,3,10,DAL 20,3,0,Byron Leftwich pass incomplete deep right intended for Antonio Bryant,3.010,2.120
1,4:39,4,10,DAL 20,3,0,"Mike Nugent 38 yard field goal no good, blocked by Gerald Sensabaugh, recovered by Mike Jenkins and returned for 17 yards",2.120,-2.390
1,4:27,1,10,TAM 48,3,0,Felix Jones left guard for 19 yards (tackle by Sabby Piscitelli),2.390,3.640
1,3:57,1,10,TAM 29,3,0,Tashard Choice left guard for 3 yards (tackle by Barrett Ruud),3.640,3.510
1,3:18,2,7,TAM 26,3,0,Tony Romo pass complete short left to Jason Witten for 18 yards (tackle by Quincy Black). Penalty on Aqib Talib: Illegal Use of Hands (Declined),3.510,5.370
1,2:51,1,8,TAM 8,3,0,Felix Jones left end for 1 yard (tackle by Jermaine Phillips),5.370,4.760
1,2:16,2,7,TAM 7,3,0,Marion Barber left guard for 3 yards (tackle by Chris Hovan and Geno Hayes),4.760,4.490
1,1:34,3,4,TAM 4,3,0,Tony Romo pass incomplete short left intended for Martellus Bennett,4.490,3.030
1,1:27,4,4,TAM 4,6,0,Nick Folk 22 yard field goal good,3.030,3.000
1,,,,DAL 30,6,0,"David Buehler kicks off 70 yards, returned by Clifton Smith for 22 yards (tackle by Sam Hurd)",0.000,0.410
1,1:14,1,10,TAM 22,6,0,Cadillac Williams right guard for 7 yards (tackle by Keith Brooking and Gerald Sensabaugh),0.410,0.810
1,0:42,2,3,TAM 29,6,0,Cadillac Williams middle for 6 yards (tackle by Igor Olshansky),0.810,1.270
Quarter,Time,Down,ToGo,Location,DAL,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 35,6,0,Byron Leftwich pass complete short left to Derrick Ward for 14 yards (tackle by Terence Newman),1.270,2.190
2,14:18,1,10,TAM 49,6,0,Derrick Ward middle for 9 yards (tackle by Gerald Sensabaugh),2.190,2.860
2,13:41,2,1,DAL 42,6,0,Derrick Ward right guard for no gain (tackle by Bradie James),2.860,2.150
2,13:05,3,1,DAL 42,6,0,Byron Leftwich middle for 2 yards (tackle by Keith Brooking),2.150,2.920
2,13:05,,,,6,0,Timeout #1 by Tampa Bay Buccaneers,0.000,2.920
2,12:25,1,10,DAL 40,6,0,Byron Leftwich pass incomplete deep right intended for Kellen Winslow (defended by DeMarcus Ware),2.920,2.370
2,12:18,2,10,DAL 40,6,0,Cadillac Williams right tackle for 35 yards (tackle by Gerald Sensabaugh),2.370,6.060
2,11:45,1,5,DAL 5,6,0,Derrick Ward middle for 4 yards (tackle by Jay Ratliff and Keith Brooking),6.060,5.910
2,11:05,2,1,DAL 1,6,0,Derrick Ward middle for no gain (tackle by DeMarcus Ware),5.910,5.170
2,10:26,3,1,DAL 1,6,6,"Cadillac Williams middle for 1 yard, touchdown",5.170,7.000
2,,,,DAL 2,6,7,Mike Nugent kicks extra point good,0.000,0.000
2,,,,TAM 30,6,7,"Mike Nugent kicks off 67 yards, returned by Felix Jones for 14 yards (tackle by Quincy Black)",0.000,-0.060
2,10:12,1,10,DAL 17,6,7,Marion Barber middle for 23 yards (tackle by Sabby Piscitelli),-0.060,1.600
2,9:48,1,10,DAL 40,6,7,Marion Barber middle for 3 yards (tackle by Roy Miller),1.600,1.460
2,9:08,2,7,DAL 43,6,7,Tony Romo pass incomplete short right intended for Patrick Crayton,1.460,0.760
2,9:00,3,7,DAL 43,6,7,Tony Romo pass incomplete short middle intended for Patrick Crayton (defended by Ronde Barber),0.760,-0.520
2,8:52,4,7,DAL 43,6,7,"Mat McBriar punts 57 yards, touchback",-0.520,-0.280
2,8:42,1,10,TAM 20,6,7,Byron Leftwich pass complete deep left to Antonio Bryant for 30 yards (tackle by Terence Newman),0.280,2.260
2,8:09,1,10,,6,7,Derrick Ward right guard for 2 yards (tackle by Marcus Spears),2.260,1.980
2,7:34,2,8,DAL 48,6,7,Derrick Ward left tackle for 2 yards (tackle by DeMarcus Ware and Terence Newman),1.980,1.550
2,6:50,3,6,DAL 46,6,7,Byron Leftwich pass incomplete short left intended for Derrick Ward,1.550,0.200
2,6:43,4,6,DAL 46,6,7,"Dirk Johnson punts 36 yards, fair catch by Patrick Crayton",0.200,0.380
2,6:33,1,10,DAL 10,6,7,Marion Barber left end for 3 yards (tackle by Jermaine Phillips),-0.380,-0.560
