Quarter,Time,Tm,Detail,DAL,TAM
1.0,9:35,Cowboys,Nick Folk 51 yard field goal,3,0
,1:22,Cowboys,Nick Folk 22 yard field goal,6,0
2.0,10:19,Buccaneers,Cadillac Williams 1 yard rush (Mike Nugent kick),6,7
,0:46,Cowboys,Miles Austin 42 yard pass from Tony Romo (Nick Folk kick),13,7
3.0,11:23,Cowboys,Roy Williams 66 yard pass from Tony Romo (Nick Folk kick),20,7
4.0,13:45,Buccaneers,Derrick Ward 1 yard rush (Mike Nugent kick),20,14
,12:43,Cowboys,Patrick Crayton 80 yard pass from Tony Romo (Nick Folk kick),27,14
,3:57,Cowboys,Marion Barber III 6 yard rush (Nick Folk kick),34,14
,1:28,Buccaneers,Kellen Winslow 2 yard pass from Byron Leftwich (Mike Nugent kick),34,21
