Unnamed: 0,DAL,TAM
First Downs,18,26
Rush-Yds-TDs,24-118-1,31-174-2
Cmp-Att-Yd-TD-INT,16-27-353-3-0,25-42-276-1-0
Sacked-Yards,1-9,0-0
Net Pass Yards,344,276
Total Yards,462,450
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,4-41,4-20
Third Down Conv.,3-10,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,26:28,33:32
