Quarter,Time,Tm,Detail,TEN,HOU
1.0,6:41,Titans,Sam Sloman 47 yard field goal,3,0
,1:42,Texans,Ka'imi Fairbairn 24 yard field goal,3,3
2.0,14:51,Titans,Derrick Henry 52 yard rush (Sam Sloman kick),10,3
,8:15,Texans,Ka'imi Fairbairn 43 yard field goal,10,6
,4:29,Titans,A.J. Brown 4 yard pass from Ryan Tannehill (Sam Sloman kick),17,6
,0:10,Texans,Ka'imi Fairbairn 28 yard field goal,17,9
3.0,9:53,Titans,Derrick Henry 6 yard rush (Sam Sloman kick),24,9
,8:08,Texans,Brandin Cooks 38 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),24,15
,4:29,Titans,Ryan Tannehill 5 yard rush (Sam Sloman kick),31,15
,2:59,Texans,Brandin Cooks 20 yard pass from Deshaun Watson (pass failed),31,21
,1:20,Texans,David Johnson 1 yard rush (Ka'imi Fairbairn kick),31,28
4.0,10:14,Texans,Pharaoh Brown 7 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),31,35
,1:42,Titans,Ryan Tannehill 5 yard rush (Sam Sloman kick),38,35
,0:18,Texans,Ka'imi Fairbairn 51 yard field goal,38,38
,0:00,Titans,Sam Sloman 37 yard field goal,41,38
