Quarter,Time,Tm,Detail,PHI,NOR
1.0,10:41,Eagles,Jordan Matthews 37 yard pass from Nick Foles (Jake Elliott kick),7,0
,4:37,Eagles,Nick Foles 1 yard rush (Jake Elliott kick),14,0
2.0,7:23,Saints,Keith Kirkwood 2 yard pass from Drew Brees (Wil Lutz kick),14,7
,0:06,Saints,Wil Lutz 45 yard field goal,14,10
3.0,1:40,Saints,Michael Thomas 2 yard pass from Drew Brees (Wil Lutz kick),14,17
4.0,10:28,Saints,Wil Lutz 39 yard field goal,14,20
