Unnamed: 0,PHI,NOR
First Downs,15,25
Rush-Yds-TDs,16-49-1,31-137-0
Cmp-Att-Yd-TD-INT,18-31-201-1-2,28-38-301-2-1
Sacked-Yards,0-0,2-18
Net Pass Yards,201,283
Total Yards,250,420
Fumbles-Lost,0-0,2-0
Turnovers,2,1
Penalties-Yards,4-30,11-84
Third Down Conv.,2-7,8-15
Fourth Down Conv.,0-0,2-2
Time of Possession,22:10,37:50
