Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Wendell Smallwood,PHI,10,33,0,0,14,1.4,19,1.9,0,
Darren Sproles,PHI,3,4,0,0,0,0.0,4,1.3,0,
Nick Foles,PHI,2,0,1,1,0,0.0,0,0.0,0,
Nelson Agholor,PHI,1,12,0,1,11,11.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,16,71,0,6,30,1.9,41,2.6,1,16.0
Mark Ingram,NOR,9,53,0,1,7,0.8,46,5.1,0,
Drew Brees,NOR,3,0,0,1,0,0.0,0,0.0,0,
Taysom Hill,NOR,2,8,0,1,6,3.0,2,1.0,0,
Tre'Quan Smith,NOR,1,5,0,0,-4,-4.0,9,9.0,0,
