Quarter,Time,Tm,Detail,NWE,NYJ
1.0,9:08,Jets,Austin Seferian-Jenkins 1 yard pass from Josh McCown (Chandler Catanzaro kick),0,7
2.0,12:18,Jets,Jeremy Kerley 31 yard pass from Josh McCown (Chandler Catanzaro kick),0,14
,5:19,Patriots,Dion Lewis 1 yard rush (Stephen Gostkowski kick),7,14
,0:09,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),14,14
3.0,11:22,Patriots,Rob Gronkowski 33 yard pass from Tom Brady (Stephen Gostkowski kick),21,14
4.0,14:10,Patriots,Stephen Gostkowski 28 yard field goal,24,14
,3:40,Jets,Chandler Catanzaro 28 yard field goal,24,17
