Quarter,Time,Tm,Detail,WAS,TEN
1.0,9:59,Redskins,James Tuthill 31 yard field goal,3,0
2.0,9:17,Titans,Steve McNair 11 yard rush (Joe Nedney kick),3,7
,2:44,Redskins,Rod Gardner 20 yard pass from Patrick Ramsey (James Tuthill kick),10,7
,0:37,Titans,John Simon 8 yard pass from Steve McNair (Joe Nedney kick),10,14
3.0,10:22,Redskins,Stephen Davis 1 yard rush (James Tuthill kick),17,14
,3:35,Redskins,Kevin Lockett 23 yard pass from Patrick Ramsey (James Tuthill kick),24,14
4.0,14:18,Redskins,Stephen Davis 14 yard pass from Kevin Lockett (James Tuthill kick),31,14
