Quarter,Time,Down,ToGo,Location,WAS,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"James Tuthill kicks off 68 yards, returned by John Simon for 17 yards (tackle by Ifeanyi Ohalete)",0.000,0.150
1,15:00,1,10,TEN 19,0,0,Eddie George middle for 4 yards (tackle by Renaldo Wynn),0.150,0.210
1,15:00,2,6,TEN 23,0,0,"Penalty on Drew Bennett: False Start, 6 yards (no play)",0.210,-0.720
1,13:58,2,12,TEN 17,0,0,"Steve McNair pass complete to Eddie George for 5 yards (tackle by LaVar Arrington and Bruce Smith). Penalty on Benji Olson: Offensive Holding, 8 yards (no play)",-0.720,-1.510
1,13:36,2,20,TEN 9,0,0,Eddie George middle for 4 yards (tackle by Daryl Gardener),-1.510,-2.080
1,13:36,3,16,TEN 13,0,0,Steve McNair pass incomplete,-2.080,-2.490
1,12:50,4,16,TEN 13,0,0,"Craig Hentrich punts 39 yards, fair catch by Jacquez Green",-2.490,-2.190
1,12:43,1,10,WAS 49,0,0,Danny Wuerffel pass incomplete intended for Zeron Flemister (defended by Keith Bulluck),2.190,1.650
1,12:39,2,10,WAS 49,0,0,Danny Wuerffel pass complete to Rod Gardner for 11 yards (tackle by Lance Schulters),1.650,2.920
1,12:10,1,10,TEN 40,0,0,Stephen Davis left tackle for 23 yards (tackle by Tank Williams),2.920,4.440
1,11:27,1,10,TEN 17,0,0,Danny Wuerffel pass incomplete intended for Kevin Lockett,4.440,3.850
1,11:21,2,10,TEN 17,0,0,Stephen Davis middle for 1 yard (tackle by Kevin Carter),3.850,3.190
1,10:43,3,9,TEN 16,0,0,Danny Wuerffel middle for 3 yards (tackle by Carlos Hall),3.190,2.590
1,10:03,4,6,TEN 13,3,0,James Tuthill 31 yard field goal good,2.590,3.000
1,10:03,,,WAS 30,3,0,"James Tuthill kicks off 54 yards, returned by John Simon for 7 yards (tackle by Ifeanyi Ohalete)",0.000,0.480
1,9:59,1,10,TEN 23,3,0,Steve McNair pass complete to Justin McCareins for 16 yards (tackle by Darrell Green and Ifeanyi Ohalete),0.480,1.530
1,9:23,1,10,TEN 39,3,0,Eddie George left tackle for -1 yards (tackle by Dan Wilkinson),1.530,0.850
1,8:43,2,11,TEN 38,3,0,Steve McNair pass complete to Justin McCareins for 15 yards (tackle by David Terrell),0.850,2.460
1,8:00,1,10,WAS 47,3,0,Eddie George middle for 6 yards (tackle by Jessie Armstead),2.460,2.720
1,7:18,2,4,WAS 41,3,0,Steve McNair pass complete to Kevin Dyson for 11 yards (tackle by Champ Bailey),2.720,3.580
1,6:34,1,10,WAS 30,3,0,Eddie George left guard for 4 yards (tackle by David Terrell),3.580,3.570
1,5:57,2,6,WAS 26,3,0,Steve McNair pass incomplete intended for Kevin Dyson,3.570,2.870
1,5:52,3,6,WAS 26,3,0,"Steve McNair pass complete to Frank Wycheck for 6 yards (tackle by Jessie Armstead). Frank Wycheck fumbles (forced by Jessie Armstead), recovered by Jessie Armstead at WAS-20 and returned for 1 yards (tackle by Fred Miller)",2.870,-0.340
1,5:44,1,10,WAS 21,3,0,Stephen Davis right tackle for 7 yards (tackle by Keith Bulluck),0.340,0.750
1,5:04,2,3,WAS 28,3,0,Stephen Davis left end for 2 yards (tackle by Samari Rolle),0.750,0.300
1,4:23,3,1,WAS 30,3,0,Patrick Ramsey middle for 2 yards (tackle by John Thornton),0.300,1.070
1,3:45,1,10,WAS 32,3,0,Stephen Davis middle for -2 yards (tackle by Carlos Hall and Randall Godfrey),1.070,0.260
1,3:10,2,12,WAS 30,3,0,"Patrick Ramsey pass incomplete intended for Zeron Flemister (defended by Keith Bulluck). Penalty on David Loverne: Offensive Holding, 10 yards (no play)",0.260,-1.090
1,2:59,2,22,WAS 20,3,0,Patrick Ramsey pass complete to Kenny Watson for 6 yards (tackle by Keith Bulluck and Kevin Aldridge),-1.090,-0.960
1,2:12,3,16,WAS 26,3,0,Patrick Ramsey pass incomplete intended for Rod Gardner (defended by Lance Schulters),-0.960,-1.630
1,2:09,4,16,WAS 26,3,0,"Bryan Barker punts 44 yards, returned by John Simon for -2 yards (tackle by Derrius Thompson)",-1.630,-0.810
1,1:58,1,10,TEN 28,3,0,Steve McNair sacked by Daryl Gardener for -1 yards,0.810,0.130
1,1:25,2,11,TEN 27,3,0,Steve McNair pass incomplete intended for Eddie George,0.130,-0.560
1,1:22,3,11,TEN 27,3,0,Steve McNair pass incomplete intended for Kevin Dyson (defended by David Terrell),-0.560,-1.570
1,1:16,4,11,TEN 27,3,0,"Craig Hentrich punts 44 yards, returned by Jacquez Green for 5 yards (tackle by Eddie Berlin)",-1.570,-1.200
1,1:05,1,10,WAS 34,3,0,Patrick Ramsey pass incomplete intended for Kevin Lockett,1.200,0.660
1,1:00,2,10,WAS 34,3,0,Patrick Ramsey pass incomplete intended for Kevin Lockett,0.660,-0.030
1,0:54,3,10,WAS 34,3,0,Patrick Ramsey pass complete to Kevin Lockett for 9 yards,-0.030,-0.520
1,0:30,4,1,WAS 43,3,0,"Bryan Barker punts 42 yards, fair catch by John Simon",-0.520,0.220
1,0:23,1,10,TEN 15,3,0,Eddie George middle for 5 yards (tackle by LaDairis Jackson),-0.220,0.080
Quarter,Time,Down,ToGo,Location,WAS,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,TEN 20,3,0,John Simon left end for -6 yards (tackle by Jessie Armstead),0.080,-1.510
2,14:19,3,11,TEN 14,3,0,. Gennaro DiNapoli fumbles,-1.510,-1.960
2,14:19,4,4,TEN 21,3,0,"Craig Hentrich punts 45 yards, returned by Jacquez Green for -3 yards (tackle by Rocky Boiman)",-1.960,-1.000
2,13:27,1,10,WAS 31,3,0,Patrick Ramsey sacked by Kevin Carter for -7 yards,1.000,-0.490
2,12:56,2,17,WAS 24,3,0,Patrick Ramsey pass incomplete intended for Kenny Watson (defended by Robaire Smith),-0.490,-1.150
2,12:53,3,17,WAS 24,3,0,Patrick Ramsey pass complete to Kenny Watson for 6 yards (tackle by Lance Schulters and Rich Coady),-1.150,-1.370
2,12:19,4,11,WAS 30,3,0,"Bryan Barker punts 45 yards, returned by John Simon for 17 yards (tackle by Ifeanyi Ohalete)",-1.370,-1.730
2,12:09,1,10,TEN 42,3,0,Steve McNair pass complete to Frank Wycheck for 3 yards (tackle by Jeremiah Trotter),1.730,1.590
2,11:34,2,7,TEN 45,3,0,Eddie George right end for 4 yards (tackle by Jeremiah Trotter),1.590,1.420
2,10:53,3,3,TEN 49,3,0,Steve McNair pass complete to Frank Wycheck for 9 yards (tackle by Jeremiah Trotter),1.420,2.790
2,10:10,1,10,WAS 42,3,0,Steve McNair pass complete to Erron Kinney for 31 yards (tackle by Fred Smoot and David Terrell),2.790,4.840
2,9:21,1,10,WAS 11,3,6,"Steve McNair middle for 11 yards, touchdown",4.840,7.000
2,9:21,,,WAS 11,3,7,Joe Nedney kicks extra point good,0.000,0.000
2,9:21,,,TEN 30,3,7,"Joe Nedney kicks off 60 yards, returned by Derrius Thompson for 5 yards (tackle by Darrell Hill). Penalty on Antonio Pierce: Illegal Block Above the Waist, 10 yards",0.000,-0.380
2,9:17,1,10,WAS 10,3,7,Kenny Watson left guard for 1 yard (tackle by Henry Ford),-0.380,-0.710
2,8:26,2,9,WAS 11,3,7,Kenny Watson middle for 3 yards (tackle by Carlos Hall),-0.710,-0.950
2,7:50,3,6,WAS 14,3,7,"Patrick Ramsey pass complete to Chris Doering for 7 yards (tackle by Andre Dyson). Chris Doering fumbles (forced by Andre Dyson), recovered by Chris Doering at WAS-21",-0.950,0.340
,,,,,,,"TEN challenged the ruling, and the play was upheld.",,
2,7:06,1,10,WAS 21,3,7,Patrick Ramsey pass incomplete intended for Jacquez Green,0.340,-0.200
2,7:01,2,10,WAS 21,3,7,Patrick Ramsey pass complete to Bryan Johnson for 23 yards (tackle by Keith Bulluck),-0.200,1.860
2,6:21,1,10,WAS 44,3,7,Patrick Ramsey pass incomplete intended for Jacquez Green,1.860,1.320
2,6:16,2,10,WAS 44,3,7,Patrick Ramsey pass incomplete intended for Rod Gardner,1.320,0.630
2,6:12,3,10,WAS 44,3,7,Patrick Ramsey pass complete to Chris Doering for 15 yards (tackle by Samari Rolle),0.630,2.850
2,5:31,1,10,TEN 41,3,7,"Penalty on John Thornton: Neutral Zone Infraction, 5 yards (no play)",2.850,3.580
2,5:31,1,5,TEN 36,3,7,"Penalty on Patrick Ramsey: Delay of Game, 5 yards (no play)",3.580,2.850
2,4:42,1,10,TEN 41,3,7,Patrick Ramsey pass incomplete intended for Kevin Lockett (defended by Samari Rolle),2.850,2.310
2,4:42,2,10,TEN 41,3,7,"Penalty on Kevin Lockett: Illegal Substitution, 5 yards (no play)",2.310,1.630
2,4:41,2,15,TEN 46,3,7,Patrick Ramsey pass complete to Rod Gardner for 21 yards (tackle by Donald Mitchell and Randall Godfrey),1.630,3.910
2,3:57,1,10,TEN 25,3,7,Patrick Ramsey pass incomplete intended for Zeron Flemister (defended by Donald Mitchell),3.910,3.360
