Quarter,Time,Tm,Detail,SDG,OAK
1.0,7:20,Raiders,Darrius Heyward-Bey 3 yard pass from Carson Palmer (Sebastian Janikowski kick),0,7
,1:02,Chargers,Antonio Gates 38 yard pass from Philip Rivers (Nick Novak kick),7,7
2.0,10:26,Chargers,Mike Tolbert 1 yard rush (Nick Novak kick),14,7
,6:19,Raiders,Sebastian Janikowski 52 yard field goal,14,10
,6:06,Chargers,Richard Goodman 105 yard kickoff return (Nick Novak kick),21,10
,2:19,Raiders,Sebastian Janikowski 43 yard field goal,21,13
,0:46,Chargers,Nick Novak 51 yard field goal,24,13
3.0,13:18,Raiders,Sebastian Janikowski 27 yard field goal,24,16
,7:33,Chargers,Vincent Jackson 13 yard pass from Philip Rivers (Nick Novak kick),31,16
,1:18,Raiders,Sebastian Janikowski 32 yard field goal,31,19
4.0,9:37,Raiders,Kevin Boss 22 yard pass from Carson Palmer (Sebastian Janikowski kick),31,26
,6:48,Chargers,Malcom Floyd 43 yard pass from Philip Rivers (Nick Novak kick),38,26
