Unnamed: 0,SDG,OAK
First Downs,25,28
Rush-Yds-TDs,31-153-1,24-103-0
Cmp-Att-Yd-TD-INT,19-26-310-3-1,28-43-417-2-1
Sacked-Yards,0-0,0-0
Net Pass Yards,310,417
Total Yards,463,520
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,8-68,8-64
Third Down Conv.,7-10,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,30:27,29:33
