Unnamed: 0,OAK,SDG
First Downs,15,33
Rush-Yds-TDs,11-22-1,38-175-1
Cmp-Att-Yd-TD-INT,24-39-263-1-2,22-25-281-5-0
Sacked-Yards,1-4,1-8
Net Pass Yards,259,273
Total Yards,281,448
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,10-75,7-46
Third Down Conv.,4-11,1-5
Fourth Down Conv.,0-1,1-1
Time of Possession,24:30,35:30
