Quarter,Time,Tm,Detail,OAK,SDG
1.0,11:14,Chargers,Justin Peelle 17 yard pass from Drew Brees (Nate Kaeding kick),0,7
,0:08,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),0,14
2.0,10:02,Raiders,Tyrone Wheatley 5 yard rush (Sebastian Janikowski kick),7,14
,4:56,Chargers,Keenan McCardell 13 yard pass from Drew Brees (Nate Kaeding kick),7,21
,0:36,Chargers,Tim Dwight 23 yard pass from Drew Brees (Nate Kaeding kick),7,28
3.0,12:05,Chargers,Antonio Gates 5 yard pass from Drew Brees (Nate Kaeding kick),7,35
,3:08,Chargers,Antonio Gates 1 yard pass from Drew Brees (Nate Kaeding kick),7,42
,0:02,Raiders,Doug Jolley 13 yard pass from Kerry Collins (Sebastian Janikowski kick),14,42
