Unnamed: 0,DEN,IND
First Downs,23,19
Rush-Yds-TDs,20-64-1,31-121-1
Cmp-Att-Yd-TD-INT,29-49-386-3-1,21-38-228-3-0
Sacked-Yards,4-21,2-15
Net Pass Yards,365,213
Total Yards,429,334
Fumbles-Lost,4-2,1-1
Turnovers,3,1
Penalties-Yards,12-103,6-52
Third Down Conv.,5-16,5-17
Fourth Down Conv.,1-1,0-0
Time of Possession,28:13,31:47
