Quarter,Time,Tm,Detail,DEN,IND
1.0,8:16,Broncos,Eric Decker 17 yard pass from Peyton Manning (Matt Prater kick),7,0
,4:05,Colts,Adam Vinatieri 27 yard field goal,7,3
,1:20,Colts,Darrius Heyward-Bey 11 yard pass from Andrew Luck (Adam Vinatieri kick),7,10
2.0,11:56,Broncos,Julius Thomas 12 yard pass from Peyton Manning (Matt Prater kick),14,10
,8:52,Colts,"Safety, Peyton Manning fumbled ball out of the end zone.",14,12
,5:50,Colts,Stanley Havili 20 yard pass from Andrew Luck (Adam Vinatieri kick),14,19
,0:10,Colts,Coby Fleener 8 yard pass from Andrew Luck (Adam Vinatieri kick),14,26
3.0,5:00,Colts,Andrew Luck 10 yard rush (Adam Vinatieri kick),14,33
,0:42,Broncos,Matt Prater 31 yard field goal,17,33
4.0,12:59,Colts,Adam Vinatieri 52 yard field goal,17,36
,12:11,Broncos,Demaryius Thomas 31 yard pass from Peyton Manning (pass failed),23,36
,8:44,Broncos,Knowshon Moreno 1 yard rush (Matt Prater kick),30,36
,5:57,Colts,Adam Vinatieri 42 yard field goal,30,39
,0:12,Broncos,Matt Prater 47 yard field goal,33,39
