Unnamed: 0,NYG,MIN
First Downs,23,23
Rush-Yds-TDs,21-126-1,19-83-0
Cmp-Att-Yd-TD-INT,30-42-334-1-1,34-48-299-3-0
Sacked-Yards,3-15,4-29
Net Pass Yards,319,270
Total Yards,445,353
Fumbles-Lost,2-1,0-0
Turnovers,2,0
Penalties-Yards,7-63,2-14
Third Down Conv.,3-11,6-13
Fourth Down Conv.,1-1,0-1
Time of Possession,29:13,30:47
