Quarter,Time,Tm,Detail,NYG,MIN
1.0,3:17,Vikings,T.J. Hockenson 12 yard pass from Kirk Cousins (Greg Joseph kick),0,7
2.0,9:40,Vikings,Greg Joseph 40 yard field goal,0,10
,4:23,Giants,Isaiah Hodgins 7 yard pass from Daniel Jones (Graham Gano kick),7,10
3.0,11:18,Giants,Graham Gano 44 yard field goal,10,10
,4:31,Giants,Graham Gano 44 yard field goal,13,10
4.0,14:12,Vikings,T.J. Hockenson 15 yard pass from Kirk Cousins (Greg Joseph kick),13,17
,6:24,Giants,Graham Gano 55 yard field goal,16,17
,3:00,Vikings,Justin Jefferson 17 yard pass from Kirk Cousins (Greg Joseph kick),16,24
,2:01,Giants,Saquon Barkley 27 yard rush (Daniel Bellinger pass from Daniel Jones),24,24
,0:00,Vikings,Greg Joseph 61 yard field goal,24,27
