Quarter,Time,Down,ToGo,Location,WAS,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Redskins won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,WAS 35,0,0,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIN 20,0,0,Teddy Bridgewater pass incomplete deep middle intended for Greg Jennings,0.280,-0.270
1,14:55,2,10,MIN 20,0,0,Jerick McKinnon right guard for -1 yards (tackle by Jason Hatcher),-0.270,-1.140
1,14:21,3,11,MIN 19,0,0,Teddy Bridgewater pass incomplete short left intended for Cordarrelle Patterson,-1.140,-2.140
1,14:16,4,11,MIN 19,0,0,"Jeff Locke punts 46 yards, muffed catch by Andre Roberts, recovered by Andre Roberts and returned for 1 yard (tackle by Rhett Ellison). Penalty on Darrel Young: Illegal Blindside Block, 15 yards",-2.140,-0.280
1,14:05,1,10,WAS 20,0,0,Robert Griffin pass complete short left to Pierre Garcon for 11 yards (tackle by Robert Blanton),0.280,1.000
1,13:34,1,10,WAS 31,0,0,Alfred Morris right tackle for 3 yards (tackle by Harrison Smith),1.000,0.870
1,13:11,2,7,WAS 34,0,0,Robert Griffin right end for 3 yards (tackle by Josh Robinson),0.870,0.560
1,12:35,3,4,WAS 37,0,0,Robert Griffin pass complete short middle to Andre Roberts for 9 yards (tackle by Chad Greenway),0.560,1.990
1,12:00,1,10,WAS 46,0,0,Robert Griffin pass complete short right to Pierre Garcon for -1 yards (tackle by Everson Griffen and Captain Munnerlyn),1.990,1.320
1,11:28,2,11,WAS 45,0,0,Alfred Morris right guard for 4 yards (tackle by Harrison Smith),1.320,1.160
1,10:41,3,7,WAS 49,0,0,Robert Griffin pass complete short left to Roy Helu for 24 yards (tackle by Xavier Rhodes),1.160,3.780
1,9:46,1,10,MIN 27,0,0,Alfred Morris left end for -1 yards (tackle by Jasper Brinkley),3.780,3.100
1,9:06,2,11,MIN 28,0,0,Robert Griffin pass complete short middle to Alfred Morris for 15 yards (tackle by Harrison Smith),3.100,4.710
