Unnamed: 0,WAS,MIN
First Downs,21,24
Rush-Yds-TDs,29-122-2,27-100-3
Cmp-Att-Yd-TD-INT,18-28-251-1-1,26-42-268-1-0
Sacked-Yards,5-26,2-16
Net Pass Yards,225,252
Total Yards,347,352
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,6-55,9-60
Third Down Conv.,6-13,8-15
Fourth Down Conv.,0-1,0-1
Time of Possession,29:34,30:26
