Quarter,Time,Tm,Detail,WAS,MIN
1.0,6:16,Redskins,Kai Forbath 36 yard field goal,3,0
2.0,14:46,Redskins,Alfred Morris 14 yard rush (Kai Forbath kick),10,0
,0:36,Vikings,Chase Ford 20 yard pass from Teddy Bridgewater (Blair Walsh kick),10,7
3.0,10:44,Vikings,Matt Asiata 1 yard rush (Blair Walsh kick),10,14
,7:23,Redskins,DeSean Jackson 13 yard pass from Robert Griffin III (Kai Forbath kick),17,14
,1:57,Redskins,Kai Forbath 26 yard field goal,20,14
4.0,13:00,Vikings,Matt Asiata 7 yard rush (Blair Walsh kick),20,21
,9:01,Redskins,Alfred Morris 2 yard rush (run failed),26,21
,3:27,Vikings,Matt Asiata 1 yard rush (Matt Asiata run),26,29
