Unnamed: 0,DEN,MIA
First Downs,16,30
Rush-Yds-TDs,20-69-0,43-350-5
Cmp-Att-Yd-TD-INT,23-38-306-1-1,25-28-376-5-0
Sacked-Yards,1-12,0-0
Net Pass Yards,294,376
Total Yards,363,726
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,7-46,6-55
Third Down Conv.,3-12,5-9
Fourth Down Conv.,0-1,1-3
Time of Possession,26:39,33:21
