Quarter,Time,Down,ToGo,Location,IND,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Chase McLaughlin kicks off 65 yards, returned by KaVontae Turpin for 18 yards (tackle by Grant Stuard)",0.000,0.040
1,14:55,1,10,DAL 18,0,0,Tony Pollard left tackle for no gain (tackle by Bobby Okereke and Grover Stewart),0.040,-0.490
1,14:22,2,10,DAL 18,0,0,Dak Prescott pass complete short right to Noah Brown for 6 yards (tackle by Isaiah Rodgers),-0.490,-0.400
1,13:48,3,4,DAL 24,0,0,Dak Prescott pass incomplete short middle intended for Dalton Schultz (defended by Rodney McLeod),-0.400,-1.770
1,13:42,4,4,DAL 24,0,0,"Bryan Anger punts 44 yards, fair catch by Dallis Flowers at IND-32. Penalty on Kelvin Joseph: Fair Catch Interference, 15 yards (accepted)",-1.770,-2.060
1,13:31,1,10,IND 47,0,0,Jonathan Taylor up the middle for 4 yards (tackle by Johnathan Hankins),2.060,2.060
1,12:58,2,6,DAL 49,0,0,Matt Ryan pass complete short middle to Kylen Granson for 9 yards (tackle by Anthony Barr),2.060,2.920
1,12:39,1,10,DAL 40,0,0,Jonathan Taylor left tackle for 2 yards (tackle by Donovan Wilson and Micah Parsons),2.920,2.640
1,12:13,2,8,DAL 38,0,0,Jonathan Taylor left guard for 4 yards (tackle by Osa Odighizuwa),2.640,2.480
1,11:38,3,4,DAL 34,0,0,Jonathan Taylor up the middle for 1 yard (tackle by DeMarcus Lawrence and Neville Gallimore),2.480,1.190
1,10:53,4,3,DAL 33,3,0,Chase McLaughlin 52 yard field goal good,1.190,3.000
1,10:49,,,IND 35,3,0,"Chase McLaughlin kicks off 65 yards, returned by KaVontae Turpin for 27 yards (tackle by Tony Brown and Dallis Flowers)",0.000,0.740
1,10:43,1,10,DAL 27,3,0,Tony Pollard right tackle for 3 yards (tackle by Dayo Odeyingbo and Byron Cowart),0.740,0.600
1,10:13,2,7,DAL 30,3,0,Dak Prescott pass complete short right to Tony Pollard for 10 yards (tackle by Stephon Gilmore),0.600,1.600
1,9:43,1,10,DAL 40,3,0,Dak Prescott pass complete short right to Dalton Schultz for 11 yards (tackle by Rodney McLeod and Rodney Thomas),1.600,2.320
1,9:12,1,10,IND 49,3,0,Tony Pollard right end for 3 yards (tackle by Zaire Franklin),2.320,2.190
1,8:42,2,7,IND 46,3,0,Ezekiel Elliott up the middle for 10 yards (tackle by Stephon Gilmore),2.190,3.180
1,8:10,1,10,IND 36,3,0,Ezekiel Elliott left tackle for 5 yards (tackle by Bobby Okereke),3.180,3.310
1,7:34,2,5,IND 31,3,0,Ezekiel Elliott right guard for 3 yards (tackle by E.J. Speed and Kwity Paye),3.310,3.010
1,6:56,3,2,IND 28,3,0,Ezekiel Elliott up the middle for 1 yard (tackle by Zaire Franklin),3.010,1.820
1,6:17,4,1,IND 27,3,0,Ezekiel Elliott left guard for 6 yards (tackle by Stephon Gilmore and Zaire Franklin),1.820,4.170
1,5:41,1,10,IND 21,3,0,Dak Prescott pass incomplete deep middle intended for Dalton Schultz,4.170,3.630
1,5:37,2,10,IND 21,3,0,Tony Pollard left guard for 1 yard (tackle by DeForest Buckner and Zaire Franklin),3.630,3.070
1,4:58,3,9,IND 20,3,6,"Dak Prescott pass complete short middle to CeeDee Lamb for 20 yards, touchdown",3.070,7.000
1,4:50,,,IND 15,3,7,Brett Maher kicks extra point good,0.000,0.000
