Unnamed: 0,IND,DAL
First Downs,18,23
Rush-Yds-TDs,30-106-0,34-220-4
Cmp-Att-Yd-TD-INT,21-37-233-2-3,20-30-170-3-1
Sacked-Yards,3-30,1-5
Net Pass Yards,203,165
Total Yards,309,385
Fumbles-Lost,2-2,0-0
Turnovers,5,1
Penalties-Yards,6-88,3-43
Third Down Conv.,4-13,7-13
Fourth Down Conv.,3-3,1-1
Time of Possession,31:19,28:41
