Quarter,Time,Tm,Detail,MIN,TAM
1.0,6:53,Vikings,Ryan Longwell 43 yard field goal,3,0
,2:48,Buccaneers,Matt Bryant 39 yard field goal,3,3
2.0,13:33,Vikings,Bobby Wade 4 yard pass from Gus Frerotte (Ryan Longwell kick),10,3
,7:48,Buccaneers,Matt Bryant 26 yard field goal,10,6
,1:47,Vikings,Ryan Longwell 37 yard field goal,13,6
3.0,9:25,Buccaneers,B.J. Askew 1 yard rush (Matt Bryant kick),13,13
4.0,5:36,Buccaneers,Matt Bryant 29 yard field goal,13,16
,3:30,Buccaneers,Matt Bryant 26 yard field goal,13,19
