Unnamed: 0,MIN,TAM
First Downs,14,21
Rush-Yds-TDs,26-99-0,33-108-1
Cmp-Att-Yd-TD-INT,14-21-138-1-0,23-30-255-0-0
Sacked-Yards,5-27,1-0
Net Pass Yards,111,255
Total Yards,210,363
Fumbles-Lost,3-2,1-1
Turnovers,2,1
Penalties-Yards,5-28,5-54
Third Down Conv.,5-12,5-12
Fourth Down Conv.,0-2,0-1
Time of Possession,26:11,33:49
