Unnamed: 0,NYG,LAR
First Downs,13,20
Rush-Yds-TDs,20-36-1,20-74-0
Cmp-Att-Yd-TD-INT,24-37-196-0-0,32-53-291-1-4
Sacked-Yards,0-0,3-20
Net Pass Yards,196,271
Total Yards,232,345
Fumbles-Lost,1-1,4-0
Turnovers,1,4
Penalties-Yards,3-33,8-43
Third Down Conv.,4-19,9-19
Fourth Down Conv.,0-0,1-1
Time of Possession,24:57,35:03
