Unnamed: 0,PIT,JAX
First Downs,9,17
Rush-Yds-TDs,14-26-0,30-110-0
Cmp-Att-Yd-TD-INT,17-32-141-0-2,26-39-260-0-1
Sacked-Yards,2-14,1-8
Net Pass Yards,127,252
Total Yards,153,362
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,3-25,10-86
Third Down Conv.,3-13,6-18
Fourth Down Conv.,0-1,0-1
Time of Possession,22:35,37:25
