Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
1,6:53,3,2,OAK 24,3,6,"Nick Mullens pass complete short right to Pierre Garcon for 24 yards, touchdown",3.270,7.000
1,6:47,,,OAK 15,3,7,Robbie Gould kicks extra point good,0.000,0.000
1,6:47,,,SFO 35,3,7,"Bradley Pinion kicks off 60 yards, returned by Dwayne Harris for no gain (tackle by Emmanuel Moseley and Marcell Harris)",0.000,0.810
1,6:38,1,10,OAK 28,3,7,Doug Martin up the middle for 9 yards (tackle by Fred Warner),0.810,1.480
1,6:01,2,1,OAK 37,3,7,Derek Carr sacked by DeForest Buckner for -5 yards,1.480,0.100
1,5:17,3,6,OAK 32,3,7,Derek Carr pass incomplete deep left intended for Jordy Nelson. Penalty on Brandon Parker: Illegal Formation (Declined),0.100,-1.240
1,5:12,4,6,OAK 32,3,7,"Johnny Townsend punts 40 yards, returned by Richie James for 6 yards (tackle by Marquel Lee)",-1.240,-1.200
1,5:04,1,10,SFO 34,3,7,Matt Breida left tackle for 3 yards (tackle by Maurice Hurst),1.200,1.060
1,4:22,2,7,SFO 37,3,7,Nick Mullens pass complete short left to Matt Breida for 3 yards (tackle by Clinton McDonald),1.060,0.760
1,3:40,3,4,SFO 40,3,7,Nick Mullens pass complete short right to Pierre Garcon for 7 yards (tackle by Daryl Worley),0.760,2.060
1,2:55,1,10,SFO 47,3,7,Raheem Mostert right tackle for 1 yard (tackle by Frostee Rucker),2.060,1.650
1,2:15,2,9,SFO 48,3,7,Nick Mullens pass complete deep middle to Pierre Garcon for 25 yards (tackle by Daryl Worley and Tahir Whitehead),1.650,3.780
1,1:30,1,10,OAK 27,3,7,Nick Mullens pass incomplete short left intended for Marquise Goodwin,3.780,3.230
1,1:24,2,10,OAK 27,3,7,Nick Mullens pass complete short right to George Kittle for 15 yards (tackle by Erik Harris),3.230,4.780
1,0:46,1,10,OAK 12,3,7,Matt Breida right tackle for 1 yard (tackle by Frostee Rucker),4.780,4.270
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,OAK 11,3,7,Nick Mullens pass complete short middle to Ross Dwelley for 8 yards (tackle by Marcus Gilchrist),4.270,5.060
2,14:20,3,1,OAK 3,3,7,Matt Breida left guard for 1 yard (tackle by Maurice Hurst),5.060,6.740
2,13:33,1,2,OAK 2,3,7,Alfred Morris up the middle for -2 yards (tackle by Johnathan Hankins),6.740,5.340
2,12:49,2,4,OAK 4,3,7,Nick Mullens pass incomplete short right intended for Marquise Goodwin (defended by Daryl Worley),5.340,4.490
2,12:44,3,4,OAK 4,3,13,"Nick Mullens pass complete short middle to Kendrick Bourne for 4 yards, touchdown",4.490,7.000
2,12:40,,,OAK 15,3,14,Robbie Gould kicks extra point good,0.000,0.000
2,12:40,,,SFO 35,3,14,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,12:40,1,10,OAK 25,3,14,Derek Carr pass incomplete deep right intended for Derek Carrier,0.610,0.060
2,12:36,2,10,OAK 25,3,14,Doug Martin left tackle for 10 yards (tackle by Fred Warner),0.060,1.270
2,11:57,1,10,OAK 35,3,14,Doug Martin up the middle for 3 yards (tackle by Solomon Thomas),1.270,1.130
2,11:19,2,7,OAK 38,3,14,Derek Carr pass complete short left to Brandon LaFell for 14 yards (tackle by Jimmie Ward),1.130,2.390
2,10:43,1,10,SFO 48,3,14,Derek Carr pass complete short left to Jordy Nelson for 10 yards (tackle by K'Waun Williams),2.390,3.050
2,10:02,1,10,SFO 38,3,14,"Doug Martin right end for no gain (tackle by Elijah Lee). Penalty on Seth Roberts: Offensive Holding, 10 yards (no play)",3.050,2.390
2,9:34,1,20,SFO 48,3,14,Derek Carr pass complete short left to Brandon LaFell for 2 yards (tackle by Tyvis Powell),2.390,1.430
2,8:54,2,18,SFO 46,3,14,Derek Carr sacked by Cassius Marsh for -5 yards,1.430,0.100
2,8:16,,,,,,Timeout #1 by Oakland Raiders,,
2,8:16,3,23,OAK 49,3,14,Derek Carr pass complete short right to Brandon LaFell for 4 yards (tackle by Fred Warner),0.100,0.130
2,7:31,4,19,SFO 47,3,14,Johnny Townsend punts 23 yards downed by Marquel Lee,0.130,-0.540
2,7:26,1,10,SFO 24,3,14,Matt Breida right end for 2 yards (tackle by Tahir Whitehead),0.540,0.270
2,7:00,2,8,SFO 26,3,14,"Nick Mullens pass incomplete short left intended for Kyle Juszczyk. Penalty on Gareon Conley: Defensive Holding, 5 yards (no play)",0.270,1.000
2,6:55,1,10,SFO 31,3,14,Matt Breida left end for -5 yards (tackle by Tahir Whitehead),1.000,-0.220
2,6:30,2,15,SFO 26,3,14,Nick Mullens pass incomplete short right intended for Pierre Garcon (defended by Daryl Worley),-0.220,-0.890
2,6:25,3,15,SFO 26,3,14,Nick Mullens pass complete short left to Kyle Juszczyk for 4 yards (tackle by Nicholas Morrow),-0.890,-1.370
2,5:58,4,11,SFO 30,3,14,Bradley Pinion punts 64 yards downed by Tarvarius Moore,-1.370,0.380
2,5:46,1,10,OAK 6,3,14,Jalen Richard left end for 4 yards (tackle by Solomon Thomas),-0.380,-0.490
2,5:07,2,6,OAK 10,3,14,Derek Carr pass incomplete short middle intended for Seth Roberts (defended by Fred Warner),-0.490,-0.950
2,5:04,3,6,OAK 10,3,14,Derek Carr pass complete short right to Jared Cook for 9 yards (tackle by K'Waun Williams),-0.950,0.150
2,4:24,1,10,OAK 19,3,14,Derek Carr pass complete short right to Jalen Richard for 25 yards (tackle by Richard Sherman),0.150,1.860
2,3:40,1,10,OAK 44,3,14,Jalen Richard right tackle for no gain (tackle by Sheldon Day),1.860,1.320
2,2:55,2,10,OAK 44,3,14,Doug Martin right tackle for 4 yards (tackle by Cassius Marsh),1.320,1.160
2,2:13,3,6,OAK 48,3,14,Derek Carr sacked by Dekoda Watson and Cassius Marsh for -4 yards,1.160,-0.460
2,2:00,4,10,OAK 44,3,14,"Johnny Townsend punts 36 yards, fair catch by Richie James at SF-20",-0.460,-0.280
2,1:54,1,10,SFO 20,3,14,Matt Breida left guard for 6 yards (tackle by Tahir Whitehead),0.280,0.540
2,1:16,2,4,SFO 26,3,14,Matt Breida right guard for -2 yards (tackle by P.J. Hall),0.540,-0.430
2,1:10,,,,,,Timeout #2 by Oakland Raiders,,
2,1:10,3,6,SFO 24,3,14,Nick Mullens pass complete short middle to Richie James for 53 yards (tackle by Reggie Nelson),-0.430,4.040
2,0:52,,,,,,Timeout #1 by San Francisco 49ers,,
2,0:52,1,10,OAK 23,3,14,Nick Mullens pass complete short left to Richie James for 7 yards (tackle by Gareon Conley),4.040,4.560
2,0:29,2,3,OAK 16,3,14,"Penalty on Weston Richburg: False Start, 5 yards (no play)",4.560,3.770
2,0:28,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:28,2,8,OAK 21,3,14,Nick Mullens pass incomplete short middle intended for Richie James,3.770,3.070
2,0:25,3,8,OAK 21,3,14,Nick Mullens pass incomplete short left intended for Pierre Garcon,3.070,2.060
2,0:21,4,8,OAK 21,3,17,Robbie Gould 39 yard field goal good,2.060,3.000
2,0:16,,,SFO 35,3,17,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
2,0:16,1,10,OAK 25,3,17,Derek Carr kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,OAK 35,3,17,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,SFO 25,3,17,"Nick Mullens aborted snap, recovered by Matt Breida at SF-23 (tackle by Tahir Whitehead)",0.610,-0.210
3,14:14,2,12,SFO 23,3,17,Nick Mullens pass complete short middle to George Kittle for 71 yards (tackle by Gareon Conley),-0.210,5.830
3,13:21,1,6,OAK 6,3,17,Kyle Juszczyk left guard for 1 yard (tackle by Maurice Hurst),5.830,5.150
3,12:40,2,5,OAK 5,3,23,"Nick Mullens pass complete short left to George Kittle for 5 yards, touchdown",5.150,7.000
3,12:36,,,OAK 15,3,24,Robbie Gould kicks extra point good,0.000,0.000
3,12:36,,,SFO 35,3,24,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,12:36,1,10,OAK 25,3,24,Doug Martin left guard for 2 yards (tackle by Earl Mitchell),0.610,0.330
3,11:58,2,8,OAK 27,3,24,"Derek Carr sacked by Dekoda Watson for -4 yards. Derek Carr fumbles (forced by Dekoda Watson), recovered by Derek Carr at OAK-23",0.330,-0.890
3,11:16,3,12,OAK 23,3,24,Derek Carr pass complete short left to Seth Roberts for 8 yards (tackle by Ahkello Witherspoon),-0.890,-1.310
3,10:43,4,4,OAK 31,3,24,"Johnny Townsend punts 42 yards downed by Kyle Wilber. Penalty on Dwayne Harris: Illegal Touch Kick, 5 yards",-1.310,-1.070
3,10:33,1,10,SFO 32,3,24,Matt Breida left tackle for -1 yards (tackle by Tahir Whitehead),1.070,0.390
3,10:08,2,11,SFO 31,3,24,Nick Mullens pass complete short left to George Kittle for 17 yards (tackle by Jason Cabinda),0.390,2.130
3,9:28,1,10,SFO 48,3,30,"Raheem Mostert right end for 52 yards, touchdown",2.130,7.000
3,9:17,,,OAK 15,3,31,Robbie Gould kicks extra point good,0.000,0.000
3,9:17,,,SFO 35,3,31,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
3,9:17,1,10,OAK 25,3,31,Doug Martin left tackle for 3 yards (tackle by Fred Warner),0.610,0.470
3,8:37,2,7,OAK 28,3,31,Doug Martin up the middle for 9 yards (tackle by Tyvis Powell),0.470,1.400
3,7:52,1,10,OAK 37,3,31,Derek Carr pass incomplete short middle intended for Doug Martin,1.400,0.860
3,7:44,2,10,OAK 37,3,31,Derek Carr pass complete short left to Jalen Richard for 5 yards (tackle by Malcolm Smith),0.860,0.830
3,7:03,3,5,OAK 42,3,31,"Derek Carr sacked by. Derek Carr fumbles, recovered by Gabe Jackson at OAK-36. Penalty on Kelechi Osemele: Illegal Formation (Declined)",0.830,-0.980
3,6:57,4,11,OAK 36,3,31,"Johnny Townsend punts 48 yards, returned by Dante Pettis for no gain (tackle by Kyle Wilber). Penalty on D.J. Reed: Offensive Holding, 8 yards",-0.980,0.380
3,6:46,1,10,SFO 8,3,31,"Matt Breida right end for 12 yards (tackle by Jason Cabinda and Karl Joseph). Penalty on Marquise Goodwin: Offensive Holding, 10 yards",-0.380,-0.300
3,6:23,1,8,SFO 10,3,31,Raheem Mostert left tackle for 10 yards (tackle by Jason Cabinda),-0.300,0.280
3,5:41,1,10,SFO 20,3,31,Raheem Mostert right guard for 9 yards (tackle by Daryl Worley),0.280,0.950
3,5:14,2,1,SFO 29,3,31,Raheem Mostert up the middle for no gain (tackle by Clinton McDonald and Jason Cabinda),0.950,0.230
3,4:38,3,1,SFO 29,3,31,Raheem Mostert left end for no gain (tackle by Clinton McDonald),0.230,-1.440
3,4:30,4,1,SFO 29,3,31,"Bradley Pinion punts 44 yards, fair catch by Dwayne Harris at OAK-27",-1.440,-0.740
3,4:15,1,10,OAK 27,3,31,Derek Carr pass complete short right to Jalen Richard for 13 yards (tackle by Fred Warner),0.740,1.600
3,3:37,1,10,OAK 40,3,31,Derek Carr pass complete short right to Martavis Bryant for 6 yards (tackle by Richard Sherman),1.600,1.860
3,2:57,2,4,OAK 46,3,31,Doug Martin left guard for 4 yards (tackle by Arik Armstead),1.860,2.260
3,2:14,,,,,,Timeout #1 by Oakland Raiders,,
3,2:14,1,10,OAK 50,3,31,Doug Martin left tackle for 2 yards (tackle by Dekoda Watson),2.260,1.980
3,1:38,2,8,SFO 48,3,31,Derek Carr up the middle for 4 yards,1.980,1.820
3,0:53,3,4,SFO 44,3,31,Derek Carr pass complete short left to Martavis Bryant for 23 yards (tackle by Elijah Lee),1.820,4.170
3,0:04,1,10,SFO 21,3,31,Doug Martin up the middle for -1 yards (tackle by Mark Nzeocha),4.170,3.490
Quarter,Time,Down,ToGo,Location,OAK,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,SFO 22,3,31,Derek Carr up the middle for 2 yards,3.490,3.070
4,14:17,3,9,SFO 20,3,31,Derek Carr sacked by Cassius Marsh for -6 yards,3.070,1.740
4,13:26,4,15,SFO 26,3,31,Daniel Carlson 45 yard field goal no good,1.740,-1.270
4,13:26,1,10,SFO 35,3,31,Matt Breida left tackle for -3 yards (tackle by Johnathan Hankins),1.270,0.320
4,12:44,2,13,SFO 32,3,31,Matt Breida left tackle for 12 yards (tackle by Reggie Nelson and Marquel Lee),0.320,1.220
4,11:58,3,1,SFO 44,3,31,Nick Mullens pass incomplete deep right intended for Marquise Goodwin,1.220,-0.460
4,11:53,4,1,SFO 44,3,31,"Bradley Pinion punts 56 yards, touchback.",-0.460,-0.280
4,11:45,1,10,OAK 20,3,31,"A.J. McCarron aborted snap, recovered by A.J. McCarron at OAK-20, recovered by DeAndre Washington at OAK-24 (tackle by Mark Nzeocha)",0.280,0.270
4,11:06,2,6,OAK 24,3,31,DeAndre Washington left tackle for 5 yards (tackle by Fred Warner),0.270,0.230
4,10:28,3,1,OAK 29,3,31,DeAndre Washington up the middle for no gain (tackle by Arik Armstead),0.230,-1.440
4,9:49,,,,,,Timeout #2 by Oakland Raiders,,
4,9:49,4,1,OAK 29,3,31,A.J. McCarron up the middle for no gain (tackle by DeForest Buckner),-1.440,-3.640
4,9:31,1,10,OAK 29,3,31,Alfred Morris right tackle for 11 yards (tackle by Erik Harris),3.640,4.370
4,8:45,1,10,OAK 18,3,31,Alfred Morris left guard for 3 yards (tackle by Fadol Brown),4.370,4.250
4,7:58,2,7,OAK 15,3,31,Alfred Morris right end for no gain (tackle by P.J. Hall and Johnathan Hankins),4.250,3.460
4,7:08,,,,,,Timeout #1 by San Francisco 49ers,,
4,7:08,3,7,OAK 15,3,31,Nick Mullens pass complete short middle to Kendrick Bourne for 2 yards (tackle by Erik Harris),3.460,2.620
4,6:25,4,5,OAK 13,3,31,"Robbie Gould yard field goal good. Penalty on Arden Key: Illegal Formation, 5 yards (no play)",2.620,5.370
4,6:21,1,8,OAK 8,3,31,Alfred Morris left end for -5 yards (tackle by Tahir Whitehead),5.370,3.720
4,5:36,2,13,OAK 13,3,31,Alfred Morris left tackle for 4 yards (tackle by Emmanuel Lamur and Johnathan Hankins),3.720,3.360
4,4:48,3,9,OAK 9,3,31,Alfred Morris up the middle for 2 yards (tackle by P.J. Hall),3.360,2.970
4,4:03,4,7,OAK 7,3,34,Robbie Gould 25 yard field goal good,2.970,3.000
4,3:59,,,SFO 35,3,34,"Bradley Pinion kicks off 63 yards, returned by Dwayne Harris for no gain (tackle by Jimmie Ward). Dwayne Harris fumbles, ball out of bounds at OAK-30 (forced by Jimmie Ward)",0.000,0.940
4,3:51,1,10,OAK 30,3,34,A.J. McCarron pass incomplete short right,0.940,0.390
4,3:45,2,10,OAK 30,3,34,DeAndre Washington left guard for 5 yards (tackle by Marcell Harris),0.390,0.370
4,3:01,3,5,OAK 35,3,34,DeAndre Washington left end for 13 yards (tackle by Marcell Harris),0.370,2.130
4,2:54,1,10,OAK 48,3,34,A.J. McCarron sacked by Ronald Blair for -7 yards,2.130,0.640
4,2:07,2,17,OAK 41,3,34,A.J. McCarron pass complete short middle to Derek Carrier for 8 yards (tackle by Elijah Lee and Mark Nzeocha),0.640,1.020
4,2:00,3,9,OAK 49,3,34,A.J. McCarron pass incomplete short right,1.020,-0.130
4,1:51,4,9,OAK 49,3,34,"Johnny Townsend punts 36 yards, fair catch by Richie James at SF-15",-0.130,0.220
4,1:45,1,10,SFO 15,3,34,Nick Mullens kneels for no gain,-0.220,-0.710
4,1:05,2,10,SFO 15,3,34,Nick Mullens kneels for -2 yards,-0.710,-1.640
4,0:32,3,12,SFO 13,3,34,Nick Mullens kneels for -1 yards,-1.640,-2.490
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
