Unnamed: 0,SFO,DEN
First Downs,13,14
Rush-Yds-TDs,19-88-0,33-101-1
Cmp-Att-Yd-TD-INT,18-29-211-1-1,20-33-184-0-0
Sacked-Yards,4-32,4-24
Net Pass Yards,179,160
Total Yards,267,261
Fumbles-Lost,3-2,2-0
Turnovers,3,0
Penalties-Yards,7-40,5-30
Third Down Conv.,1-10,6-19
Fourth Down Conv.,0-0,0-0
Time of Possession,25:31,34:29
