Quarter,Time,Tm,Detail,SFO,DEN
1.0,7:56,49ers,Brandon Aiyuk 3 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,0
2.0,11:56,Broncos,Brandon McManus 55 yard field goal,7,3
3.0,9:53,Broncos,"Safety, Jimmy Garoppolo sacked in end zone by Mike Purcell",7,5
4.0,14:10,49ers,Robbie Gould 51 yard field goal,10,5
,4:10,Broncos,Melvin Gordon 1 yard rush (pass failed),10,11
