Unnamed: 0,KAN,JAX
First Downs,14,21
Rush-Yds-TDs,14-60-0,41-173-2
Cmp-Att-Yd-TD-INT,23-39-262-2-0,18-27-264-1-0
Sacked-Yards,3-21,1-11
Net Pass Yards,241,253
Total Yards,301,426
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,1-10,5-31
Third Down Conv.,4-13,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,23:47,36:13
