Quarter,Time,Tm,Detail,KAN,JAX
1.0,9:54,Chiefs,Ryan Succop 45 yard field goal,3,0
,4:33,Jaguars,Rashad Jennings 28 yard rush (Josh Scobee kick),3,7
2.0,2:38,Chiefs,Ryan Succop 21 yard field goal,6,7
,1:02,Jaguars,Mike Sims-Walker 61 yard pass from David Garrard (Josh Scobee kick),6,14
3.0,0:47,Jaguars,Josh Scobee 27 yard field goal,6,17
4.0,4:26,Jaguars,Maurice Jones-Drew 10 yard rush (Josh Scobee kick),6,24
,2:32,Chiefs,Chris Chambers 54 yard pass from Matt Cassel (Ryan Succop kick),13,24
,1:01,Chiefs,Chris Chambers 5 yard pass from Matt Cassel (Jamaal Charles pass from Matt Cassel),21,24
