Unnamed: 0,CLE,PIT
First Downs,8,20
Rush-Yds-TDs,29-106-0,35-176-3
Cmp-Att-Yd-TD-INT,6-18-26-0-2,17-27-193-0-1
Sacked-Yards,3-6,0-0
Net Pass Yards,20,193
Total Yards,126,369
Fumbles-Lost,1-0,1-0
Turnovers,2,1
Penalties-Yards,6-47,8-65
Third Down Conv.,3-13,7-12
Fourth Down Conv.,1-2,0-0
Time of Possession,26:40,33:20
