Unnamed: 0,CLE,TAM
First Downs,11,22
Rush-Yds-TDs,18-60-0,38-186-2
Cmp-Att-Yd-TD-INT,20-40-151-0-1,15-32-194-0-1
Sacked-Yards,2-17,0-0
Net Pass Yards,134,194
Total Yards,194,380
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,8-66,5-45
Third Down Conv.,6-17,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,26:26,33:34
