Unnamed: 0,SEA,STL
First Downs,16,13
Rush-Yds-TDs,39-126-2,17-42-0
Cmp-Att-Yd-TD-INT,15-25-203-1-2,20-40-181-1-1
Sacked-Yards,4-40,5-38
Net Pass Yards,163,143
Total Yards,289,185
Fumbles-Lost,3-0,2-2
Turnovers,2,3
Penalties-Yards,13-100,5-50
Third Down Conv.,7-17,5-15
Fourth Down Conv.,0-0,0-0
Time of Possession,35:00,25:00
