Quarter,Time,Down,ToGo,Location,NYJ,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,JAX 30,0,0,"Josh Scobee kicks off 69 yards, returned by Justin Miller for 21 yards (tackle by Montell Owens)",0.000,0.410
1,14:56,1,10,NYJ 22,0,0,Brad Smith right tackle for 5 yards (tackle by Rashean Mathis),0.410,0.540
1,14:19,2,5,NYJ 27,0,0,Chad Pennington pass complete short left to Laveranues Coles for 4 yards (tackle by Brian Williams),0.540,0.370
1,13:39,3,1,NYJ 31,0,0,Brad Smith middle for 3 yards (tackle by Rob Meier),0.370,1.200
1,13:06,1,10,NYJ 34,0,0,"Kevan Barlow right end for 1 yard (tackle by Nick Greisen and Rob Meier). Penalty on Paul Spicer: Defensive Offside, 5 yards (no play)",1.200,1.930
1,12:40,1,5,NYJ 39,0,0,Kevan Barlow left end for -3 yards (tackle by Mike Peterson),1.930,0.930
1,12:05,2,8,NYJ 36,0,0,"Chad Pennington pass incomplete short right intended for Justin McCareins. Penalty on Rashean Mathis: Defensive Holding, 5 yards (no play)",0.930,1.660
1,12:01,1,10,NYJ 41,0,0,Chad Pennington pass incomplete short right intended for Laveranues Coles is intercepted by Brian Williams at JAX-46 and returned for 4 yards,1.660,-2.260
1,11:53,1,10,JAX 50,0,0,Fred Taylor left tackle for 5 yards (tackle by Jonathan Vilma),2.260,2.390
1,11:18,2,5,NYJ 45,0,0,Byron Leftwich pass complete short left to Fred Taylor for 32 yards (tackle by Kerry Rhodes),2.390,4.710
1,10:29,1,10,NYJ 13,0,0,Maurice Jones-Drew right tackle for 7 yards (tackle by Jonathan Vilma),4.710,5.340
1,9:48,2,3,NYJ 6,0,6,"Maurice Jones-Drew middle for 6 yards, touchdown",5.340,7.000
1,9:48,,,NYJ 2,0,7,Josh Scobee kicks extra point good,0.000,0.000
1,9:44,,,JAX 30,0,7,"Josh Scobee kicks off 65 yards, returned by Justin Miller for 22 yards (tackle by Brian Iwuh)",0.000,0.740
1,9:39,1,10,NYJ 27,0,7,Chad Pennington pass complete short left to Jerricho Cotchery for 6 yards (tackle by Deon Grant),0.740,1.010
1,9:04,2,4,NYJ 33,0,7,Kevan Barlow left end for 2 yards (tackle by Bobby McCray),1.010,0.560
1,8:24,3,2,NYJ 35,0,7,Chad Pennington pass complete short right to Brad Smith for -4 yards (tackle by Rashean Mathis),0.560,-1.310
1,7:45,4,6,NYJ 31,0,7,"Ben Graham punts 53 yards, returned by Chad Owens for 13 yards (tackle by Rashad Washington)",-1.310,-0.870
1,7:31,1,10,JAX 29,0,7,Reggie Williams right end for 9 yards (tackle by Bryan Thomas),0.870,1.540
1,7:03,2,1,JAX 38,0,7,Byron Leftwich pass complete short right to Reggie Williams for 6 yards (tackle by Andre Dyson),1.540,1.860
1,6:37,1,10,JAX 44,0,7,Byron Leftwich pass complete short right to Reggie Williams for 17 yards (tackle by Bryan Thomas),1.860,2.980
1,6:06,1,10,NYJ 39,0,7,Fred Taylor middle for 14 yards (tackle by Andre Dyson),2.980,3.910
1,5:22,1,10,NYJ 25,0,7,Byron Leftwich pass complete short right to George Wrighster for 12 yards (tackle by Bryan Thomas),3.910,4.710
1,4:49,1,10,NYJ 13,0,13,"Fred Taylor middle for 13 yards, touchdown",4.710,7.000
1,4:49,,,NYJ 2,0,14,Josh Scobee kicks extra point good,0.000,0.000
1,4:44,,,JAX 30,0,14,"Josh Scobee kicks off 72 yards, returned by Justin Miller for 23 yards (tackle by Brent Hawkins)",0.000,0.340
1,4:44,1,10,NYJ 21,0,14,"Penalty on Brandon Moore: False Start, 5 yards (no play)",0.340,-0.220
1,4:37,1,15,NYJ 16,0,14,Chad Pennington pass complete short right to Kevan Barlow for -1 yards (tackle by Mike Peterson),-0.220,-1.140
1,3:57,2,16,NYJ 15,0,14,Chad Pennington pass incomplete deep left intended for Chris Baker (defended by Daryl Smith),-1.140,-1.960
1,3:50,3,16,NYJ 15,0,14,Leon Washington right tackle for 7 yards (tackle by Donovin Darius),-1.960,-1.900
1,3:15,4,9,NYJ 22,0,14,"Ben Graham punts 36 yards, out of bounds",-1.900,-1.730
1,3:07,1,10,JAX 42,0,14,Fred Taylor middle for 2 yards (tackle by Eric Barton),1.730,1.460
1,2:24,2,8,JAX 44,0,14,Byron Leftwich pass incomplete short left intended for Kyle Brady,1.460,0.760
1,2:19,3,8,JAX 44,0,14,Byron Leftwich pass incomplete short middle intended for Maurice Jones-Drew,0.760,-0.460
1,2:15,4,8,JAX 44,0,14,"Chris Hanson punts 47 yards, fair catch by Tim Dwight",-0.460,0.380
