Unnamed: 0,NYJ,JAX
First Downs,11,19
Rush-Yds-TDs,34-132-0,39-181-3
Cmp-Att-Yd-TD-INT,10-18-71-0-3,9-20-140-2-0
Sacked-Yards,6-26,1-9
Net Pass Yards,45,131
Total Yards,177,312
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,6-59,9-62
Third Down Conv.,3-14,6-13
Fourth Down Conv.,0-2,0-0
Time of Possession,27:58,32:02
