Unnamed: 0,STL,MIN
First Downs,20,16
Rush-Yds-TDs,29-108-1,29-113-3
Cmp-Att-Yd-TD-INT,26-45-235-0-5,16-25-146-0-0
Sacked-Yards,1-6,0-0
Net Pass Yards,229,146
Total Yards,337,259
Fumbles-Lost,2-1,3-2
Turnovers,6,2
Penalties-Yards,9-60,5-60
Third Down Conv.,7-15,2-12
Fourth Down Conv.,0-2,0-0
Time of Possession,33:49,26:11
