Unnamed: 0,DEN,OAK
First Downs,25,9
Rush-Yds-TDs,51-254-1,16-31-0
Cmp-Att-Yd-TD-INT,11-20-190-3-1,15-31-136-0-1
Sacked-Yards,0-0,4-22
Net Pass Yards,190,114
Total Yards,444,145
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,9-85,9-81
Third Down Conv.,6-11,3-14
Fourth Down Conv.,0-2,0-0
Time of Possession,36:57,23:02
