Unnamed: 0,CAR,CHI
First Downs,21,18
Rush-Yds-TDs,36-119-0,19-79-1
Cmp-Att-Yd-TD-INT,20-39-314-0-2,19-28-186-1-1
Sacked-Yards,2-17,6-55
Net Pass Yards,297,131
Total Yards,416,210
Fumbles-Lost,2-0,2-2
Turnovers,2,3
Penalties-Yards,3-21,5-40
Third Down Conv.,10-19,2-8
Fourth Down Conv.,1-1,0-0
Time of Possession,36:38,23:22
