Unnamed: 0_level_0,Unnamed: 1_level_0,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Player,Tm,Rt,Yds,Y/Rt,TD,Lng,Ret,Yds,Y/R,TD,Lng
Devin Hester,CHI,0,0,,0,0,2,11,5.5,0,11
Armando Allen,CHI,2,10,5.0,0,7,0,0,,0,0
Kyle Adams,CHI,1,8,8.0,0,8,0,0,,0,0
Earl Bennett,CHI,1,18,18.0,0,18,0,0,,0,0
Craig Steltz,CHI,1,5,5.0,0,5,0,0,,0,0
Eric Weems,CHI,1,3,3.0,0,3,0,0,,0,0
Corey Wootton,CHI,1,0,0.0,0,0,0,0,,0,0
