Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,CAR 20,0,0,Jonathan Stewart left guard for 2 yards (tackle by Lance Briggs),0.280,0.000
1,14:26,2,8,CAR 22,0,0,Cam Newton pass incomplete short left intended for Steve Smith (defended by Brian Urlacher),0.000,-0.690
1,14:22,3,8,CAR 22,0,0,Cam Newton pass complete deep middle to Brandon LaFell for 18 yards (tackle by Chris Conte),-0.690,1.600
1,13:44,1,10,CAR 40,0,0,Cam Newton pass incomplete deep right intended for Greg Olsen,1.600,1.050
1,13:36,2,10,CAR 40,0,0,Jonathan Stewart left end for -1 yards (tackle by Charles Tillman),1.050,0.230
1,12:53,3,11,CAR 39,0,0,Cam Newton pass complete short left to Steve Smith for 10 yards (tackle by Tim Jennings),0.230,-0.130
1,12:05,4,1,CAR 49,0,0,"Brad Nortman punts 36 yards, returned by Devin Hester for 11 yards (tackle by Gary Barnidge)",-0.130,-0.670
1,11:55,1,10,CHI 26,0,0,"Jay Cutler sacked by Greg Hardy for -7 yards. Penalty on Charles Johnson: Illegal Use of Hands, 7 yards",0.670,0.670
1,11:36,1,10,CHI 26,0,0,Matt Forte right end for 6 yards (tackle by Luke Kuechly),0.670,0.940
1,10:53,2,4,CHI 32,0,0,Jay Cutler pass complete short right to Brandon Marshall for 9 yards (tackle by Captain Munnerlyn),0.940,1.660
1,10:19,1,10,CHI 41,0,0,Matt Forte right end for 9 yards (tackle by Haruki Nakamura),1.660,2.340
1,9:49,2,1,,0,0,Jay Cutler pass incomplete deep middle intended for Brandon Marshall is intercepted by Josh Norman at CAR-3 and returned for 2 yards,2.340,0.380
1,9:38,1,10,CAR 5,0,0,Jonathan Stewart left tackle for no gain (tackle by Henry Melton),-0.380,-0.780
1,9:00,2,10,CAR 5,0,0,Jonathan Stewart right guard for 2 yards (tackle by Brian Urlacher),-0.780,-1.190
1,8:19,3,8,CAR 7,0,0,Cam Newton pass complete short right to Jonathan Stewart for 9 yards (tackle by Tim Jennings),-1.190,-0.140
1,7:47,1,10,CAR 16,0,0,Mike Tolbert left guard for 4 yards (tackle by Brian Urlacher),-0.140,0.010
1,7:07,2,6,CAR 20,0,0,Cam Newton pass incomplete short left intended for Steve Smith. Penalty on Geoff Hangartner: Ineligible Downfield Pass (Declined),0.010,-0.820
1,7:03,3,6,CAR 20,0,0,Cam Newton sacked by Julius Peppers for -6 yards,-0.820,-2.470
1,6:37,4,12,CAR 14,0,0,"Brad Nortman punts 35 yards, returned by Devin Hester for no gain",-2.470,-2.320
1,6:24,1,10,CAR 49,0,0,Matt Forte left end for 16 yards (tackle by Haruki Nakamura),2.320,3.380
1,5:44,1,10,CAR 33,0,0,Jay Cutler pass complete short left to Brandon Marshall for 18 yards (tackle by Josh Norman),3.380,4.580
1,5:03,1,10,CAR 15,0,0,Jay Cutler pass complete short right to Matt Forte for 2 yards (tackle by Thomas Davis),4.580,4.280
1,4:37,2,8,CAR 13,0,6,"Matt Forte right guard for 13 yards, touchdown",4.280,7.000
1,4:37,,,CAR 2,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,4:37,,,CHI 35,0,7,"Robbie Gould kicks off 65 yards, touchback",0.000,-0.280
1,4:32,1,10,CAR 20,0,7,Cam Newton pass complete deep middle to Brandon LaFell for 62 yards (tackle by Tim Jennings),0.280,4.370
1,3:48,1,10,CHI 18,0,7,"Jonathan Stewart left guard for 1 yard (tackle by Brian Urlacher). Penalty on Jeff Byers: Offensive Holding, 10 yards (no play)",4.370,3.710
1,3:17,1,20,CHI 28,0,7,Cam Newton pass complete short right to Jonathan Stewart for 5 yards (tackle by Chris Conte),3.710,3.150
1,2:48,2,15,CHI 23,0,7,Cam Newton pass incomplete deep left intended for Steve Smith,3.150,2.480
1,2:44,3,15,CHI 23,0,7,Cam Newton pass complete short middle to Greg Olsen for 7 yards (tackle by Brian Urlacher),2.480,2.380
1,2:06,4,8,CHI 16,3,7,Justin Medlock 34 yard field goal good,2.380,3.000
1,2:06,,,CAR 35,3,7,"Justin Medlock kicks off 30 yards, returned by Kyle Adams for 8 yards (tackle by Jason Phillips)",0.000,-1.800
1,1:58,1,10,CHI 43,3,7,Matt Forte left tackle for no gain (tackle by Greg Hardy),1.800,1.250
1,1:18,2,10,CHI 43,3,7,Jay Cutler sacked by Greg Hardy for -11 yards,1.250,-0.890
1,0:43,3,21,CHI 32,3,7,"Jay Cutler sacked by Charles Johnson for -8 yards. Jay Cutler fumbles (forced by Charles Johnson), recovered by Frank Alexander at CHI-16 (tackle by Lance Louis)",-0.890,-4.510
1,0:33,1,10,CHI 16,3,7,DeAngelo Williams left guard for 7 yards (tackle by Nick Roach),4.510,5.160
Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,CHI 9,3,7,Cam Newton pass incomplete short right intended for Louis Murphy (defended by Charles Tillman),5.160,5.160
2,14:57,2,3,CHI 9,3,7,Timeout #1 by Carolina Panthers,5.160,4.390
2,14:57,3,3,CHI 9,9,7,"Cam Newton right guard for 8 yards (tackle by Major Wright). Cam Newton fumbles (forced by Major Wright), recovered by Louis Murphy at CHI--5, touchdown",4.390,7.000
2,14:57,,,CHI 2,10,7,Justin Medlock kicks extra point good,0.000,0.000
2,14:57,,,CAR 35,10,7,Justin Medlock kicks off 42 yards,0.000,-0.480
2,14:43,1,10,CHI 23,10,7,Michael Bush left guard for 4 yards (tackle by Charles Godfrey and Thomas Davis),0.480,0.470
2,14:07,2,6,CHI 27,10,7,Michael Bush left tackle for -1 yards (tackle by Dwan Edwards),0.470,-0.360
2,13:28,3,7,CHI 26,10,7,Jay Cutler sacked by Dwan Edwards for -4 yards,-0.360,-1.900
2,13:07,4,11,CHI 22,10,7,Adam Podlesh punts 49 yards,-1.900,-0.870
2,12:55,1,10,CAR 29,10,7,Jonathan Stewart left end for -2 yards (tackle by Stephen Paea),0.870,0.060
2,12:14,2,12,CAR 27,10,7,Cam Newton pass complete short left to Jonathan Stewart for 9 yards (tackle by Chris Conte and Nate Collins),0.060,0.560
2,11:29,3,3,CAR 36,10,7,Cam Newton pass complete short left to Steve Smith for 8 yards (tackle by Tim Jennings),0.560,1.860
2,10:48,1,10,CAR 44,10,7,Cam Newton pass incomplete deep middle intended for Louis Murphy,1.860,1.320
2,10:43,2,10,CAR 44,10,7,Jonathan Stewart left end for 1 yard (tackle by Corey Wootton),1.320,0.760
2,10:08,3,9,CAR 45,10,7,"Cam Newton pass incomplete deep left intended for Steve Smith. Penalty on Tim Jennings: Illegal Contact, 5 yards (no play)",0.760,2.260
2,10:02,1,10,,10,7,Cam Newton pass incomplete short middle intended for Steve Smith,2.260,1.710
2,9:57,2,10,,10,7,Jonathan Stewart left tackle for 9 yards (tackle by D.J. Moore and Lance Briggs),1.710,2.210
2,9:16,3,1,CHI 41,10,7,Jonathan Stewart right tackle for no gain (tackle by Lance Briggs),2.210,0.530
2,8:49,4,1,CHI 41,10,7,Cam Newton right guard for 2 yards (tackle by Chris Conte),0.530,2.980
2,8:09,1,10,CHI 39,10,7,Jonathan Stewart right guard for 1 yard (tackle by Israel Idonije),2.980,2.580
2,7:28,2,9,CHI 38,10,7,Cam Newton pass complete short right to Jonathan Stewart for 15 yards (tackle by Charles Tillman and Lance Briggs),2.580,4.040
2,6:39,1,10,CHI 23,10,7,Cam Newton pass incomplete short left intended for Steve Smith (defended by Tim Jennings),4.040,3.500
2,6:34,2,10,CHI 23,10,7,Cam Newton pass complete short right to Greg Olsen for 10 yards (tackle by Nick Roach),3.500,4.710
2,5:54,1,10,CHI 13,10,7,DeAngelo Williams right tackle for 3 yards (tackle by Stephen Paea),4.710,4.580
2,5:27,2,7,CHI 10,10,7,DeAngelo Williams left guard for -3 yards (tackle by Shea McClellin),4.580,3.120
2,4:46,3,10,CHI 13,10,7,Cam Newton pass incomplete short right intended for Louis Murphy,3.120,2.570
2,4:41,4,10,CHI 13,13,7,Justin Medlock 31 yard field goal good,2.570,3.000
2,4:41,,,CAR 35,13,7,"Justin Medlock kicks off 48 yards, returned by Eric Weems for 3 yards (tackle by Jordan Senn)",0.000,-0.280
2,4:31,1,10,CHI 20,13,7,Matt Forte right end for 9 yards (tackle by Luke Kuechly),0.280,0.950
2,3:57,2,1,CHI 29,13,7,Matt Forte right guard for 5 yards (tackle by Thomas Davis),0.950,1.200
2,3:19,1,10,CHI 34,13,7,Jay Cutler pass incomplete deep right intended for Brandon Marshall,1.200,0.660
2,3:15,2,10,CHI 34,13,7,Jay Cutler pass incomplete short right intended for Brandon Marshall,0.660,-0.030
2,3:09,3,10,CHI 34,13,7,"Jay Cutler pass incomplete short middle intended for Matt Forte. Penalty on Thomas Davis: Defensive Pass Interference, 4 yards (no play)",-0.030,1.470
2,3:05,1,10,CHI 38,13,7,Matt Forte left end for 3 yards (tackle by James Anderson),1.470,1.330
2,2:39,2,7,CHI 41,13,7,Jay Cutler pass incomplete short middle intended for Matt Spaeth (defended by Captain Munnerlyn),1.330,0.630
2,2:34,3,7,CHI 41,13,7,Jay Cutler pass incomplete short left intended for Brandon Marshall,0.630,-0.650
2,2:30,4,7,CHI 41,13,7,"Adam Podlesh punts 44 yards, fair catch by Captain Munnerlyn",-0.650,0.220
2,2:21,1,10,CAR 15,13,7,Cam Newton pass incomplete short left intended for Jonathan Stewart,-0.220,-0.710
2,2:17,2,10,CAR 15,13,7,Jonathan Stewart right guard for 2 yards (tackle by Brian Urlacher),-0.710,-1.120
2,2:00,3,8,CAR 17,13,7,"Cam Newton pass incomplete short right intended for Brandon LaFell. Penalty on Israel Idonije: Defensive Offside, 5 yards (no play)",-1.120,-0.510
2,1:54,3,3,CAR 22,13,7,Cam Newton pass complete short middle to Steve Smith for 14 yards,-0.510,1.330
2,1:34,1,10,CAR 36,13,7,"Cam Newton sacked by Henry Melton and Julius Peppers for -11 yards. Cam Newton fumbles (forced by Henry Melton), recovered by Amini Silatolu at CAR-25. Penalty on Jordan Gross: Face Mask (15 Yards) (Declined)",1.330,-0.700
2,1:29,2,21,CAR 25,13,7,Jonathan Stewart right guard for 13 yards (tackle by Major Wright),-0.700,-0.700
2,1:20,2,21,CAR 25,13,7,Timeout #1 by Chicago Bears,-0.700,0.370
2,1:20,3,8,CAR 38,13,7,Cam Newton pass complete deep left to Steve Smith for 18 yards (tackle by Tim Jennings),0.370,2.650
2,0:58,1,10,CHI 44,13,7,Cam Newton right guard for 4 yards (tackle by Lance Briggs),2.650,2.650
2,0:47,1,10,CHI 44,13,7,Timeout #2 by Carolina Panthers,2.650,2.650
2,0:47,2,6,CHI 40,13,7,Cam Newton pass incomplete short right intended for Greg Olsen is intercepted by Tim Jennings at CHI-43 and returned for 2 yards,2.650,2.650
2,0:38,2,6,CHI 40,13,7,Timeout #3 by Carolina Panthers,2.650,-1.930
2,0:38,1,10,CHI 45,13,7,Jay Cutler pass complete short middle to Brandon Marshall for 11 yards (tackle by Sherrod Martin),1.930,2.650
2,0:19,1,10,CAR 44,13,7,Jay Cutler sacked by Greg Hardy for -7 yards,2.650,2.650
2,0:14,1,10,CAR 44,13,7,Timeout #2 by Chicago Bears,2.650,1.170
2,0:14,2,17,CHI 49,13,7,"Jay Cutler sacked by Charles Johnson for -8 yards. Jay Cutler fumbles (forced by Charles Johnson), recovered by Charles Johnson at CHI-39 (tackle by Gabe Carimi)",1.170,-2.980
2,0:08,1,10,CHI 39,13,7,Cam Newton pass complete short left to Greg Olsen for 6 yards,2.980,3.250
2,0:03,2,4,CHI 33,13,7,Cam Newton pass incomplete deep middle intended for Brandon LaFell,3.250,2.540
Quarter,Time,Down,ToGo,Location,CAR,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CAR 35,13,7,"Justin Medlock kicks off 27 yards, returned by Craig Steltz for 5 yards (tackle by Kealoha Pilares)",0.000,-1.800
3,14:57,1,10,CHI 43,13,7,Matt Forte left guard for 1 yard (tackle by Luke Kuechly),1.800,1.390
3,14:28,2,9,CHI 44,13,7,Matt Forte right tackle for 2 yards (tackle by Luke Kuechly and James Anderson),1.390,0.960
3,13:49,3,7,CHI 46,13,7,Jay Cutler pass complete short left to Devin Hester for 5 yards (tackle by Josh Norman). Penalty on Chilo Rachal: Offensive Holding (Declined),0.960,0.000
3,13:32,4,2,CAR 49,13,7,Adam Podlesh punts 43 yards,0.000,0.380
