Quarter,Time,Tm,Detail,ARI,LAR
1.0,11:25,Cardinals,Matt Prater 55 yard field goal,3,0
,0:11,Rams,Brett Maher 29 yard field goal,3,3
2.0,12:35,Cardinals,Matt Prater 32 yard field goal,6,3
,0:43,Cardinals,Matt Prater 27 yard field goal,9,3
,0:04,Rams,Brett Maher 35 yard field goal,9,6
3.0,8:57,Rams,Cooper Kupp 13 yard pass from Matthew Stafford (Brett Maher kick),9,13
,2:44,Rams,Brett Maher 25 yard field goal,9,16
4.0,8:19,Rams,Kyren Williams 5 yard rush (Brett Maher kick),9,23
,4:37,Rams,Brett Maher 43 yard field goal,9,26
