Quarter,Time,Down,ToGo,Location,ARI,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Ethan Evans kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Keaontay Ingram right tackle for no gain (tackle by Kobie Turner and Aaron Donald),0.610,0.060
1,14:21,2,10,ARI 25,0,0,Joshua Dobbs pass complete short middle to Marquise Brown for no gain (tackle by Christian Rozeboom),0.060,-0.620
1,13:42,3,10,ARI 25,0,0,Joshua Dobbs scrambles right end for 24 yards (tackle by Ernest Jones),-0.620,2.190
1,13:01,1,10,ARI 49,0,0,Keaontay Ingram right tackle for 12 yards (tackle by Ahkello Witherspoon),2.190,2.980
1,12:23,1,10,LAR 39,0,0,Joshua Dobbs pass incomplete deep right,2.980,2.440
1,12:17,2,10,LAR 39,0,0,Joshua Dobbs pass complete short right to Keaontay Ingram for 2 yards (tackle by Ahkello Witherspoon),2.440,2.020
1,11:35,3,8,LAR 37,0,0,Joshua Dobbs pass incomplete deep right intended for Marquise Brown (defended by Ahkello Witherspoon),2.020,0.790
1,11:30,4,8,LAR 37,3,0,Matt Prater 55 yard field goal good,0.790,3.000
1,11:25,,,ARI 35,3,0,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,11:25,1,10,LAR 25,3,0,Kyren Williams left tackle for 5 yards (tackle by Josh Woods and Andre Chachere),0.610,0.740
1,10:44,2,5,LAR 30,3,0,Matthew Stafford pass complete short right to Cooper Kupp for 15 yards (tackle by Kei'Trel Clark),0.740,1.930
1,10:06,1,10,LAR 45,3,0,Matthew Stafford pass incomplete short right,1.930,1.380
1,10:01,2,10,LAR 45,3,0,Matthew Stafford pass incomplete short left intended for Cooper Kupp,1.380,0.700
1,9:58,3,10,LAR 45,3,0,Matthew Stafford pass complete short left to Puka Nacua for 5 yards (tackle by Antonio Hamilton),0.700,-0.060
1,9:16,4,5,LAR 50,3,0,"Ethan Evans punts 43 yards, fair catch by Greg Dortch at ARI-7",-0.060,0.380
1,9:09,1,10,ARI 7,3,0,Damien Williams up the middle for 4 yards (tackle by Zach VanValkenburg and Kobie Turner),-0.380,-0.560
1,8:33,2,7,ARI 11,3,0,Damien Williams up the middle for 2 yards (tackle by Ernest Jones and Michael Hoecht),-0.560,-0.720
1,7:48,3,4,ARI 13,3,0,Joshua Dobbs pass complete deep right to Michael Wilson for 17 yards (tackle by Cobie Durant),-0.720,0.940
1,7:19,1,10,ARI 30,3,0,Emari Demercado right tackle for 5 yards (tackle by Aaron Donald and Cobie Durant),0.940,1.070
1,6:42,2,5,ARI 35,3,0,Joshua Dobbs pass complete short right to Rondale Moore for 7 yards (tackle by Jordan Fuller),1.070,1.730
1,6:03,1,10,ARI 42,3,0,Damien Williams up the middle for -1 yards (tackle by Aaron Donald),1.730,1.050
1,5:25,2,11,ARI 41,3,0,Damien Williams right tackle for 2 yards (tackle by Kobie Turner),1.050,0.630
1,4:45,3,9,ARI 43,3,0,Joshua Dobbs pass complete short left to Rondale Moore for 9 yards (tackle by Jordan Fuller),0.630,2.390
